supplier_id,transport_company_id,site_id,transport_date,distance_km,co2_emissions_kg,transport_cost,transported_weight_kg
5,2,5,2025-01-01,1067.74,27.96,1209.04,339.8
6,4,5,2025-01-01,624.73,5.33,530.78,341.88
7,1,5,2025-01-01,815.74,24.46,940.5,355.43
8,3,5,2025-01-01,1271.67,36.19,1331.38,395.3
1,2,1,2025-01-02,484.13,2.96,534.57,78.84
2,2,1,2025-01-02,714.38,4.55,806.7,81.74
3,2,1,2025-01-02,927.72,6.53,1030.82,91.61
4,3,1,2025-01-02,1936.76,13.95,1993.79,92.82
5,2,1,2025-01-02,898.32,6.86,969.26,91.76
6,1,1,2025-01-02,492.81,3.51,566.18,81.51
7,2,1,2025-01-02,764.74,5.63,850.38,89.47
8,5,1,2025-01-02,1399.95,1.8,914.79,82.05
1,4,2,2025-01-02,516.29,0.07,438.28,5.96
2,4,2,2025-01-02,946.43,0.15,789.35,6.76
3,5,2,2025-01-02,593.21,0.06,395.84,6.64
4,3,2,2025-01-02,2066.18,0.83,2190.03,5.62
5,4,2,2025-01-02,1152.62,0.19,992.49,6.73
6,1,2,2025-01-02,527.34,0.26,604.95,5.73
7,1,2,2025-01-02,903.38,0.49,1014.03,6.34
8,3,2,2025-01-02,1650.97,0.7,1688.72,5.73
1,1,3,2025-01-02,296.09,2.66,345.9,102.28
2,4,3,2025-01-02,1100.8,3.22,946.05,116.54
3,5,3,2025-01-02,440.97,0.78,281.01,113.39
4,3,3,2025-01-02,2285.74,19.06,2369.74,115.12
5,1,3,2025-01-02,970.67,8.64,1101.68,103.29
6,2,3,2025-01-02,292.53,2.65,325.69,118.76
7,2,3,2025-01-02,1002.13,8.2,1135.28,106.14
8,3,3,2025-01-02,1843.42,15.23,1879.72,110.93
1,1,4,2025-01-02,752.04,4.94,841.71,80.15
2,3,4,2025-01-02,1058.66,5.49,1099.51,71.77
3,1,4,2025-01-02,935.9,5.64,1051.49,72.72
4,5,4,2025-01-02,2042.4,2.59,1307.07,81.05
5,1,4,2025-01-02,1361.91,9.85,1522.5,82.0
6,4,4,2025-01-02,750.56,1.52,645.14,81.56
7,4,4,2025-01-02,670.2,1.27,556.85,73.6
8,3,4,2025-01-02,1398.41,7.89,1465.56,72.91
1,2,5,2025-01-02,639.87,16.19,714.23,325.29
2,3,5,2025-01-02,638.84,16.29,665.1,324.87
3,5,5,2025-01-02,1151.08,5.6,742.48,313.67
4,3,5,2025-01-02,1634.61,39.31,1767.38,331.29
5,2,5,2025-01-02,1001.52,24.35,1124.06,308.65
6,2,5,2025-01-02,626.58,15.04,695.76,303.49
7,2,5,2025-01-02,811.27,19.44,912.16,298.93
8,3,5,2025-01-02,1233.03,26.01,1284.23,276.76
1,2,1,2025-01-03,477.68,3.27,526.58,82.16
2,4,1,2025-01-03,713.4,1.52,593.51,87.09
3,2,1,2025-01-03,914.84,6.5,987.58,86.68
4,5,1,2025-01-03,1832.62,2.55,1171.05,94.75
5,4,1,2025-01-03,909.6,1.94,782.0,85.67
6,4,1,2025-01-03,468.74,1.16,391.29,95.95
7,1,1,2025-01-03,733.78,5.79,824.33,91.74
8,3,1,2025-01-03,1475.06,9.01,1505.43,83.93
1,1,2,2025-01-03,566.13,0.71,649.48,14.38
2,4,2,2025-01-03,987.42,0.36,834.37,14.68
3,1,2,2025-01-03,629.68,0.7,736.02,12.67
4,3,2,2025-01-03,2107.08,2.16,2238.57,13.27
5,2,2,2025-01-03,1098.28,1.21,1205.1,13.36
6,2,2,2025-01-03,549.05,0.68,620.44,15.43
7,2,2,2025-01-03,960.7,1.13,1077.89,14.68
8,5,2,2025-01-03,1715.54,0.38,1099.08,14.75
1,1,3,2025-01-03,310.2,3.34,357.88,123.18
2,2,3,2025-01-03,1026.33,9.48,1114.78,118.03
3,2,3,2025-01-03,467.69,4.26,512.14,118.11
4,3,3,2025-01-03,2245.41,19.64,2364.89,117.69
5,2,3,2025-01-03,908.42,9.88,1016.97,137.51
6,4,3,2025-01-03,285.59,1.0,243.52,138.74
7,2,3,2025-01-03,1028.85,10.78,1155.95,126.09
8,3,3,2025-01-03,1797.88,16.57,1876.41,123.07
1,4,4,2025-01-03,732.9,1.24,622.3,69.84
2,2,4,2025-01-03,1100.48,6.57,1218.0,71.69
3,5,4,2025-01-03,857.44,0.91,556.49,73.23
4,3,4,2025-01-03,1903.23,9.77,1979.59,68.74
5,2,4,2025-01-03,1271.17,7.83,1427.26,77.63
6,2,4,2025-01-03,685.4,4.13,747.93,71.76
7,4,4,2025-01-03,621.96,1.15,514.39,77.71
8,3,4,2025-01-03,1309.41,6.1,1344.68,64.37
1,4,5,2025-01-03,596.09,5.16,502.0,347.35
2,3,5,2025-01-03,628.41,15.73,647.75,325.64
3,1,5,2025-01-03,1203.44,28.63,1371.83,293.81
4,5,5,2025-01-03,1682.43,8.04,1108.1,332.51
5,4,5,2025-01-03,1023.0,8.31,881.84,331.37
6,1,5,2025-01-03,638.37,16.72,739.45,323.0
7,4,5,2025-01-03,839.0,6.59,730.71,319.18
8,5,5,2025-01-03,1200.69,6.36,797.97,348.18
1,4,1,2025-01-04,453.69,0.31,389.34,27.0
2,4,1,2025-01-04,742.19,0.54,628.65,29.1
3,5,1,2025-01-04,908.32,0.37,605.98,27.85
4,5,1,2025-01-04,1920.6,0.79,1256.82,27.4
5,2,1,2025-01-04,885.28,2.01,973.4,28.84
6,2,1,2025-01-04,484.0,1.12,539.14,27.95
7,2,1,2025-01-04,754.18,1.69,817.04,28.97
8,5,1,2025-01-04,1448.34,0.67,949.85,30.37
1,2,2,2025-01-04,537.2,0.18,587.58,4.27
2,2,2,2025-01-04,961.01,0.37,1059.13,4.8
3,2,2,2025-01-04,650.79,0.24,713.93,4.77
4,5,2,2025-01-04,1999.04,0.13,1269.74,4.37
5,4,2,2025-01-04,1201.85,0.14,1036.24,4.9
6,2,2,2025-01-04,552.13,0.23,599.49,5.18
7,1,2,2025-01-04,981.6,0.37,1115.5,4.53
8,3,2,2025-01-04,1612.76,0.63,1713.51,5.17
1,1,3,2025-01-04,304.14,1.2,340.09,48.36
2,3,3,2025-01-04,1046.79,3.46,1069.99,45.49
3,2,3,2025-01-04,432.63,1.45,478.56,42.03
4,3,3,2025-01-04,2123.38,8.14,2174.53,48.9
5,1,3,2025-01-04,913.75,3.8,1069.74,48.47
6,1,3,2025-01-04,308.27,1.23,350.73,44.93
7,4,3,2025-01-04,1101.45,1.23,942.75,44.24
8,3,3,2025-01-04,1880.57,5.94,1994.04,43.34
1,1,4,2025-01-04,701.27,1.26,802.29,21.82
2,4,4,2025-01-04,1059.85,0.53,912.23,20.7
3,5,4,2025-01-04,932.36,0.27,597.59,19.75
4,3,4,2025-01-04,1935.4,3.21,2082.19,21.79
5,1,4,2025-01-04,1244.28,2.09,1452.54,20.16
6,4,4,2025-01-04,750.33,0.4,630.45,21.34
7,2,4,2025-01-04,678.77,1.17,728.08,21.6
8,3,4,2025-01-04,1402.57,2.4,1431.02,22.61
1,1,5,2025-01-04,648.64,6.81,767.62,122.56
2,4,5,2025-01-04,670.89,2.01,560.06,116.59
3,5,5,2025-01-04,1167.42,2.11,763.46,124.4
4,5,5,2025-01-04,1779.74,3.02,1145.09,114.15
5,1,5,2025-01-04,1087.56,10.45,1236.12,110.93
6,2,5,2025-01-04,639.44,5.91,696.82,115.99
7,2,5,2025-01-04,817.35,8.21,917.97,121.1
8,3,5,2025-01-04,1269.71,10.93,1309.34,115.82
1,2,1,2025-01-06,475.76,2.86,510.07,75.6
2,3,1,2025-01-06,723.54,4.43,769.58,82.09
3,1,1,2025-01-06,857.6,5.83,999.6,77.59
4,5,1,2025-01-06,1859.41,2.04,1244.79,76.42
5,1,1,2025-01-06,896.53,5.5,1031.75,69.84
6,4,1,2025-01-06,460.22,0.9,391.41,78.73
7,2,1,2025-01-06,730.78,4.41,825.07,76.4
8,3,1,2025-01-06,1502.78,8.38,1570.58,72.24
1,4,2,2025-01-06,527.43,0.13,457.47,9.62
2,4,2,2025-01-06,1028.89,0.26,876.67,10.67
3,2,2,2025-01-06,609.61,0.54,688.11,11.25
4,3,2,2025-01-06,2148.56,1.61,2304.28,10.13
5,2,2,2025-01-06,1097.52,1.0,1229.95,11.21
6,2,2,2025-01-06,566.37,0.52,610.12,11.31
7,1,2,2025-01-06,914.49,0.89,1026.58,11.68
8,5,2,2025-01-06,1583.95,0.26,1007.65,11.56
1,4,3,2025-01-06,314.1,1.07,264.27,132.78
2,4,3,2025-01-06,1070.23,4.14,930.15,149.47
3,5,3,2025-01-06,444.6,0.95,294.34,139.8
4,3,3,2025-01-06,2225.84,23.37,2308.67,137.43
5,1,3,2025-01-06,973.44,11.37,1130.17,143.21
6,1,3,2025-01-06,298.31,3.98,335.47,150.76
7,1,3,2025-01-06,1028.3,11.93,1186.46,141.49
8,3,3,2025-01-06,1740.6,17.99,1842.1,132.9
1,1,4,2025-01-06,719.83,4.84,835.64,81.33
2,3,4,2025-01-06,1024.31,5.71,1102.16,72.15
3,5,4,2025-01-06,904.19,1.04,605.37,73.18
4,5,4,2025-01-06,1977.09,2.28,1312.22,78.79
5,1,4,2025-01-06,1364.92,9.55,1559.51,85.65
6,2,4,2025-01-06,725.39,5.0,821.81,87.88
7,4,4,2025-01-06,643.23,1.2,556.46,72.13
8,3,4,2025-01-06,1405.43,9.14,1512.24,83.92
1,1,5,2025-01-06,626.64,19.8,730.29,366.64
2,4,5,2025-01-06,666.61,6.75,557.38,398.01
3,1,5,2025-01-06,1196.39,38.79,1375.61,388.86
4,5,5,2025-01-06,1739.5,8.86,1149.58,346.83
5,1,5,2025-01-06,1018.58,35.89,1166.69,399.45
6,4,5,2025-01-06,645.64,6.34,562.77,402.77
7,2,5,2025-01-06,889.73,26.74,1000.63,362.32
8,5,5,2025-01-06,1307.86,7.2,870.63,350.66
1,4,1,2025-01-07,478.2,0.91,408.46,73.53
2,2,1,2025-01-07,740.93,4.03,813.56,67.78
3,5,1,2025-01-07,922.41,0.98,604.98,71.5
4,5,1,2025-01-07,1777.54,1.81,1182.47,71.08
5,4,1,2025-01-07,884.52,1.72,758.57,76.73
6,2,1,2025-01-07,489.24,2.8,527.31,72.1
7,1,1,2025-01-07,735.33,4.5,866.2,74.96
8,3,1,2025-01-07,1433.85,8.22,1524.03,73.14
1,4,2,2025-01-07,535.63,0.11,453.03,8.26
2,2,2,2025-01-07,1012.7,0.68,1099.34,8.06
3,5,2,2025-01-07,611.97,0.07,406.31,7.79
4,3,2,2025-01-07,2148.59,1.29,2275.7,7.67
5,1,2,2025-01-07,1138.29,0.69,1336.46,7.39
6,2,2,2025-01-07,517.95,0.31,585.93,7.42
7,1,2,2025-01-07,977.25,0.6,1128.28,7.47
8,3,2,2025-01-07,1704.42,1.03,1823.34,7.96
1,1,3,2025-01-07,294.86,2.75,330.2,105.41
2,2,3,2025-01-07,1101.19,10.37,1184.19,114.31
3,1,3,2025-01-07,433.43,4.18,502.43,110.18
4,3,3,2025-01-07,2128.33,16.88,2239.28,103.25
5,4,3,2025-01-07,908.54,2.51,777.5,112.23
6,2,3,2025-01-07,300.12,2.83,337.12,123.5
7,4,3,2025-01-07,1052.25,3.1,871.72,112.45
8,5,3,2025-01-07,1862.51,3.0,1226.74,111.73
1,2,4,2025-01-07,689.29,2.88,739.01,51.67
2,3,4,2025-01-07,1063.05,4.67,1108.8,57.36
3,5,4,2025-01-07,902.75,0.76,573.0,55.88
4,3,4,2025-01-07,2018.79,9.03,2148.41,58.1
5,1,4,2025-01-07,1290.91,6.61,1514.45,60.78
6,2,4,2025-01-07,713.95,2.94,793.7,51.83
7,2,4,2025-01-07,679.48,3.17,729.72,58.51
8,3,4,2025-01-07,1295.09,5.16,1385.81,51.85
1,4,5,2025-01-07,592.72,5.63,512.0,377.82
2,3,5,2025-01-07,640.48,17.61,691.01,357.65
3,5,5,2025-01-07,1098.42,5.36,698.93,331.5
4,3,5,2025-01-07,1641.3,43.94,1711.29,344.97
5,4,5,2025-01-07,1036.09,9.51,899.88,364.38
6,4,5,2025-01-07,649.42,6.05,559.7,368.25
7,1,5,2025-01-07,859.26,26.59,964.39,357.13
8,5,5,2025-01-07,1275.34,6.27,806.34,332.97
1,1,1,2025-01-08,473.12,3.45,549.51,88.95
2,2,1,2025-01-08,690.61,4.98,758.56,91.3
3,1,1,2025-01-08,888.3,7.35,1026.83,94.77
4,3,1,2025-01-08,1920.92,12.48,1963.3,84.5
5,1,1,2025-01-08,879.49,6.99,1009.02,93.69
6,2,1,2025-01-08,456.63,3.27,491.54,90.97
7,4,1,2025-01-08,763.39,1.76,631.89,90.51
8,5,1,2025-01-08,1520.24,1.83,1015.07,82.67
1,1,2,2025-01-08,554.26,0.56,637.45,12.39
2,3,2,2025-01-08,948.22,0.92,995.77,12.63
3,5,2,2025-01-08,638.98,0.12,404.0,11.83
4,3,2,2025-01-08,2041.75,1.78,2134.86,11.85
5,2,2,2025-01-08,1174.09,1.15,1254.51,12.72
6,2,2,2025-01-08,522.28,0.59,581.2,14.1
7,2,2,2025-01-08,910.87,0.98,1007.45,13.83
8,3,2,2025-01-08,1632.8,1.5,1697.39,12.45
1,1,3,2025-01-08,287.29,3.08,325.8,125.89
2,3,3,2025-01-08,1034.37,10.54,1064.44,133.86
3,1,3,2025-01-08,434.09,4.29,508.4,115.2
4,3,3,2025-01-08,2128.97,20.64,2270.86,129.32
5,4,3,2025-01-08,945.15,3.16,810.97,133.03
6,4,3,2025-01-08,294.7,0.97,250.66,134.18
7,2,3,2025-01-08,1043.93,9.62,1119.0,117.79
8,3,3,2025-01-08,1765.87,15.37,1892.3,121.45
1,1,4,2025-01-08,730.42,4.25,845.59,71.42
2,3,4,2025-01-08,1046.08,5.32,1125.15,65.91
3,2,4,2025-01-08,936.81,4.8,1037.72,66.13
4,3,4,2025-01-08,2039.26,10.18,2185.23,64.55
5,4,4,2025-01-08,1245.96,1.99,1072.8,67.11
6,2,4,2025-01-08,721.73,3.79,814.56,66.63
7,2,4,2025-01-08,644.07,3.28,721.48,63.09
8,5,4,2025-01-08,1291.4,1.18,828.89,59.91
1,4,5,2025-01-08,641.8,6.49,537.22,400.43
2,2,5,2025-01-08,655.38,17.56,744.99,340.12
3,5,5,2025-01-08,1168.65,6.07,742.68,339.21
4,5,5,2025-01-08,1724.39,8.81,1136.64,353.83
5,4,5,2025-01-08,1102.2,10.48,949.66,396.62
6,4,5,2025-01-08,611.43,5.27,513.6,356.33
7,2,5,2025-01-08,823.82,25.65,899.48,403.04
8,3,5,2025-01-08,1250.96,35.48,1319.3,369.31
1,4,1,2025-01-09,462.33,1.18,390.92,106.01
2,2,1,2025-01-09,697.02,5.9,786.42,104.53
3,5,1,2025-01-09,894.39,1.35,572.78,98.86
4,5,1,2025-01-09,1870.46,3.05,1197.02,105.73
5,1,1,2025-01-09,882.85,7.99,1037.0,106.86
6,2,1,2025-01-09,478.38,3.88,535.87,102.07
7,2,1,2025-01-09,750.22,5.74,811.44,99.01
8,3,1,2025-01-09,1504.09,10.32,1568.0,91.64
1,1,2,2025-01-09,551.42,0.46,618.42,10.16
2,2,2,2025-01-09,957.73,0.81,1049.67,10.95
3,1,2,2025-01-09,639.64,0.62,731.96,10.9
4,5,2,2025-01-09,2050.41,0.31,1322.82,9.59
5,1,2,2025-01-09,1129.15,0.91,1285.8,9.31
6,1,2,2025-01-09,520.43,0.44,605.65,9.69
7,1,2,2025-01-09,974.59,0.84,1148.19,10.06
8,3,2,2025-01-09,1609.73,1.31,1713.37,10.8
1,4,3,2025-01-09,297.7,1.01,248.4,139.84
2,2,3,2025-01-09,1041.58,11.64,1120.49,140.31
3,2,3,2025-01-09,454.35,4.36,493.34,119.71
4,3,3,2025-01-09,2154.08,18.99,2272.57,119.31
5,1,3,2025-01-09,965.62,10.45,1083.08,121.54
6,4,3,2025-01-09,301.32,1.06,249.84,140.12
7,2,3,2025-01-09,1002.07,10.25,1120.08,129.53
8,5,3,2025-01-09,1851.93,3.65,1213.79,128.41
1,4,4,2025-01-09,736.93,1.02,628.59,57.99
2,4,4,2025-01-09,1015.88,1.6,874.13,63.35
3,5,4,2025-01-09,871.41,0.74,581.84,55.62
4,3,4,2025-01-09,1909.72,7.58,1950.62,54.53
5,2,4,2025-01-09,1302.0,6.89,1411.72,65.87
6,4,4,2025-01-09,697.76,1.05,606.59,58.28
7,2,4,2025-01-09,635.26,3.21,695.29,63.59
8,5,4,2025-01-09,1403.28,1.29,912.28,58.64
1,2,5,2025-01-09,611.78,18.91,660.35,395.6
2,3,5,2025-01-09,622.63,18.37,659.37,381.05
3,2,5,2025-01-09,1104.3,31.2,1214.74,360.55
4,5,5,2025-01-09,1643.33,9.05,1084.95,369.21
5,2,5,2025-01-09,1062.06,31.75,1192.82,368.54
6,1,5,2025-01-09,593.65,19.1,699.72,383.67
7,4,5,2025-01-09,821.1,7.19,708.13,338.39
8,5,5,2025-01-09,1191.85,6.27,770.52,341.08
1,2,1,2025-01-10,491.12,3.01,539.48,79.27
2,3,1,2025-01-10,710.78,4.94,748.56,92.05
3,2,1,2025-01-10,883.29,6.18,944.87,83.58
4,3,1,2025-01-10,1849.82,11.93,1915.39,85.47
5,2,1,2025-01-10,918.36,6.13,1022.87,82.46
6,2,1,2025-01-10,455.91,2.83,492.53,81.08
7,4,1,2025-01-10,745.88,1.52,647.8,80.24
8,5,1,2025-01-10,1474.34,2.02,946.81,91.11
1,2,2,2025-01-10,558.97,0.68,620.11,14.66
2,3,2,2025-01-10,980.86,0.93,1007.71,13.0
3,2,2,2025-01-10,590.63,0.66,661.69,14.21
4,3,2,2025-01-10,2072.95,1.97,2241.98,12.9
5,4,2,2025-01-10,1147.55,0.39,979.91,13.81
6,1,2,2025-01-10,565.51,0.69,657.54,14.46
7,2,2,2025-01-10,914.69,1.1,1011.62,14.99
8,3,2,2025-01-10,1638.88,1.79,1682.17,15.22
1,1,3,2025-01-10,294.12,3.51,334.25,134.47
2,4,3,2025-01-10,1091.47,4.1,936.51,154.2
3,5,3,2025-01-10,439.85,0.99,279.79,147.83
4,3,3,2025-01-10,2220.2,23.6,2350.1,146.55
5,4,3,2025-01-10,934.57,3.49,813.0,156.45
6,1,3,2025-01-10,286.36,3.64,334.1,148.31
7,4,3,2025-01-10,1041.24,3.86,893.0,148.23
8,5,3,2025-01-10,1825.54,3.7,1209.33,138.52
1,2,4,2025-01-10,705.42,2.8,773.72,51.95
2,3,4,2025-01-10,1046.27,4.16,1122.97,54.98
3,2,4,2025-01-10,921.08,4.7,991.4,60.9
4,5,4,2025-01-10,1952.92,1.49,1240.95,52.33
5,2,4,2025-01-10,1267.23,5.18,1384.83,52.22
6,4,4,2025-01-10,714.11,1.15,618.92,62.06
7,4,4,2025-01-10,664.37,0.85,581.96,53.28
8,5,4,2025-01-10,1349.83,1.05,901.16,54.63
1,4,5,2025-01-10,617.35,5.47,513.27,351.57
2,3,5,2025-01-10,649.67,19.75,684.93,399.15
3,5,5,2025-01-10,1093.44,5.4,702.71,341.69
4,5,5,2025-01-10,1744.86,9.35,1141.12,360.86
5,1,5,2025-01-10,1035.56,30.9,1191.6,355.12
6,4,5,2025-01-10,606.34,6.28,506.78,407.07
7,1,5,2025-01-10,840.98,27.62,997.43,392.67
8,3,5,2025-01-10,1212.38,33.78,1241.88,371.48
1,1,1,2025-01-11,480.04,1.12,540.74,27.48
2,4,1,2025-01-11,694.06,0.48,586.39,28.14
3,5,1,2025-01-11,921.54,0.34,610.95,24.86
4,5,1,2025-01-11,1888.62,0.73,1218.05,24.87
5,4,1,2025-01-11,864.86,0.54,752.93,25.47
6,4,1,2025-01-11,476.08,0.31,408.66,26.41
7,4,1,2025-01-11,755.82,0.52,629.96,27.05
8,5,1,2025-01-11,1398.93,0.54,933.92,26.84
1,1,2,2025-01-11,523.3,0.16,598.7,3.67
2,2,2,2025-01-11,971.22,0.32,1092.28,3.92
3,5,2,2025-01-11,634.1,0.04,413.69,3.87
4,5,2,2025-01-11,2055.22,0.11,1368.95,3.57
5,2,2,2025-01-11,1155.32,0.37,1284.68,3.84
6,4,2,2025-01-11,527.28,0.05,442.27,3.7
7,2,2,2025-01-11,923.86,0.29,1003.42,4.06
8,3,2,2025-01-11,1681.39,0.47,1771.9,3.7
1,4,3,2025-01-11,293.2,0.27,247.71,35.94
2,3,3,2025-01-11,1083.43,3.55,1123.72,42.42
3,2,3,2025-01-11,470.49,1.4,522.78,35.61
4,5,3,2025-01-11,2137.08,1.3,1394.52,41.43
5,2,3,2025-01-11,915.54,2.94,991.96,39.78
6,4,3,2025-01-11,312.16,0.28,259.26,36.75
7,2,3,2025-01-11,1072.82,3.15,1145.45,35.77
8,3,3,2025-01-11,1783.24,5.87,1870.29,42.26
1,1,4,2025-01-11,738.43,1.62,827.04,26.43
2,2,4,2025-01-11,1065.99,2.28,1197.53,26.12
3,1,4,2025-01-11,937.19,2.13,1057.11,25.81
4,3,4,2025-01-11,2046.95,4.15,2205.88,27.03
5,2,4,2025-01-11,1348.98,2.7,1449.18,24.89
6,2,4,2025-01-11,704.49,1.72,774.99,30.3
7,1,4,2025-01-11,672.82,1.52,756.08,27.42
8,3,4,2025-01-11,1381.2,3.01,1408.25,28.42
1,2,5,2025-01-11,638.03,6.69,689.55,127.83
2,4,5,2025-01-11,675.81,2.27,561.24,134.37
3,5,5,2025-01-11,1103.47,2.28,736.86,138.27
4,3,5,2025-01-11,1659.33,15.24,1790.99,119.45
5,2,5,2025-01-11,1058.66,10.58,1156.11,127.96
6,1,5,2025-01-11,592.85,5.76,679.3,116.49
7,4,5,2025-01-11,885.96,3.09,762.76,135.9
8,5,5,2025-01-11,1233.44,2.3,801.4,119.08
1,2,1,2025-01-13,481.64,3.55,532.39,92.95
2,3,1,2025-01-13,738.53,5.52,788.62,96.52
3,5,1,2025-01-13,922.93,1.3,598.57,97.82
4,5,1,2025-01-13,1771.95,2.34,1155.62,92.19
5,4,1,2025-01-13,873.19,1.93,758.75,91.69
6,2,1,2025-01-13,451.96,3.12,485.87,85.66
7,4,1,2025-01-13,745.91,1.49,631.47,82.94
8,3,1,2025-01-13,1458.53,10.1,1488.43,94.17
1,2,2,2025-01-13,557.09,0.58,596.22,12.98
2,3,2,2025-01-13,999.64,0.89,1074.58,12.48
3,2,2,2025-01-13,590.97,0.59,660.57,12.15
4,5,2,2025-01-13,2024.26,0.4,1348.78,13.34
5,2,2,2025-01-13,1135.7,1.18,1252.36,12.83
6,4,2,2025-01-13,559.46,0.17,472.58,11.43
7,1,2,2025-01-13,971.65,0.92,1085.54,11.69
8,5,2,2025-01-13,1643.9,0.32,1060.87,12.92
1,1,3,2025-01-13,292.43,3.2,346.74,131.72
2,4,3,2025-01-13,1077.88,3.37,923.51,123.19
3,1,3,2025-01-13,438.33,4.67,503.94,124.14
4,3,3,2025-01-13,2143.84,19.74,2257.64,123.51
5,1,3,2025-01-13,915.81,11.31,1081.33,149.31
6,4,3,2025-01-13,294.57,1.04,248.79,138.56
7,2,3,2025-01-13,1089.51,13.02,1193.88,149.1
8,5,3,2025-01-13,1720.97,3.97,1147.17,148.09
1,4,4,2025-01-13,732.87,1.03,617.59,59.05
2,4,4,2025-01-13,1067.99,1.62,903.73,61.74
3,1,4,2025-01-13,881.99,4.12,999.17,54.71
4,3,4,2025-01-13,1911.14,8.98,2057.26,60.82
5,4,4,2025-01-13,1288.65,1.86,1088.48,57.42
6,2,4,2025-01-13,698.64,3.5,785.19,60.11
7,1,4,2025-01-13,652.32,3.3,745.38,62.25
8,3,4,2025-01-13,1400.44,5.9,1490.81,54.76
1,4,5,2025-01-13,602.46,5.83,508.98,371.63
2,2,5,2025-01-13,631.27,19.14,708.81,370.14
3,2,5,2025-01-13,1197.66,40.09,1313.74,410.04
4,3,5,2025-01-13,1708.85,52.72,1802.09,416.34
5,2,5,2025-01-13,1029.88,32.81,1134.77,383.52
6,4,5,2025-01-13,618.11,6.78,524.66,421.41
7,2,5,2025-01-13,811.39,28.14,871.14,423.33
8,5,5,2025-01-13,1224.4,6.62,801.43,370.62
1,1,1,2025-01-14,469.97,3.7,533.67,91.0
2,3,1,2025-01-14,753.59,5.13,776.41,90.78
3,2,1,2025-01-14,870.23,6.41,982.24,92.16
4,3,1,2025-01-14,1854.43,12.55,1985.26,94.26
5,1,1,2025-01-14,923.79,7.04,1046.26,86.73
6,4,1,2025-01-14,453.6,0.94,376.04,83.31
7,4,1,2025-01-14,762.51,1.72,648.38,90.33
8,3,1,2025-01-14,1454.67,9.0,1548.64,86.71
1,4,2,2025-01-14,565.78,0.09,485.98,6.1
2,2,2,2025-01-14,941.49,0.45,1016.56,6.21
3,5,2,2025-01-14,604.65,0.06,383.13,6.55
4,5,2,2025-01-14,2041.59,0.2,1311.15,6.4
5,1,2,2025-01-14,1167.68,0.74,1310.17,7.23
6,2,2,2025-01-14,533.37,0.29,593.92,6.72
7,1,2,2025-01-14,949.99,0.55,1096.89,6.66
8,3,2,2025-01-14,1715.14,0.92,1844.33,7.32
1,4,3,2025-01-14,311.63,1.01,259.18,136.35
2,3,3,2025-01-14,1091.93,10.83,1177.45,138.77
3,2,3,2025-01-14,428.2,4.26,481.53,129.0
4,5,3,2025-01-14,2294.35,4.56,1498.09,131.52
5,2,3,2025-01-14,966.82,10.56,1080.34,138.14
6,4,3,2025-01-14,306.72,1.1,254.8,137.05
7,2,3,2025-01-14,1021.88,10.36,1133.14,125.41
8,5,3,2025-01-14,1884.41,3.79,1246.51,132.27
1,2,4,2025-01-14,719.32,4.18,788.78,69.54
