site_id,product_id,production_date,quantity_produced,production_duration_minutes
1,1,2025-01-13,96,288
1,2,2025-01-13,235,403
2,3,2025-01-13,9,540
2,4,2025-01-13,13,390
3,5,2025-01-13,262,349
3,6,2025-01-13,342,293
4,7,2025-01-13,59,236
4,8,2025-01-13,87,261
5,9,2025-01-13,1221,407
5,10,2025-01-13,752,301
1,1,2025-01-14,85,255
1,2,2025-01-14,236,405
2,3,2025-01-14,4,240
2,4,2025-01-14,8,240
3,5,2025-01-14,199,265
3,6,2025-01-14,410,351
4,7,2025-01-14,55,220
4,8,2025-01-14,124,372
5,9,2025-01-14,765,255
5,10,2025-01-14,697,279
1,1,2025-01-15,104,312
1,2,2025-01-15,216,370
2,3,2025-01-15,8,480
2,4,2025-01-15,15,450
3,5,2025-01-15,224,299
3,6,2025-01-15,391,335
4,7,2025-01-15,45,180
4,8,2025-01-15,84,252
5,9,2025-01-15,1249,416
5,10,2025-01-15,884,354
1,1,2025-01-16,97,291
1,2,2025-01-16,238,408
2,3,2025-01-16,10,600
2,4,2025-01-16,12,360
3,5,2025-01-16,188,251
3,6,2025-01-16,325,279
4,7,2025-01-16,72,288
4,8,2025-01-16,90,270
5,9,2025-01-16,1164,388
5,10,2025-01-16,501,200
1,1,2025-01-17,126,378
1,2,2025-01-17,232,398
2,3,2025-01-17,7,420
2,4,2025-01-17,15,450
3,5,2025-01-17,205,273
3,6,2025-01-17,379,325
4,7,2025-01-17,51,204
4,8,2025-01-17,108,324
5,9,2025-01-17,1219,406
5,10,2025-01-17,811,324
1,1,2025-01-18,55,165
1,2,2025-01-18,95,163
2,3,2025-01-18,4,240
2,4,2025-01-18,6,180
3,5,2025-01-18,179,239
3,6,2025-01-18,269,231
4,7,2025-01-18,47,188
4,8,2025-01-18,42,126
5,9,2025-01-18,619,206
5,10,2025-01-18,450,180
1,1,2025-01-20,111,333
1,2,2025-01-20,148,254
2,3,2025-01-20,11,660
2,4,2025-01-20,15,450
3,5,2025-01-20,192,256
3,6,2025-01-20,282,242
4,7,2025-01-20,87,348
4,8,2025-01-20,130,390
5,9,2025-01-20,1262,421
5,10,2025-01-20,584,234
1,1,2025-01-21,96,288
1,2,2025-01-21,207,355
2,3,2025-01-21,11,660
2,4,2025-01-21,13,390
3,5,2025-01-21,214,285
3,6,2025-01-21,388,333
4,7,2025-01-21,89,356
4,8,2025-01-21,95,285
5,9,2025-01-21,1019,340
5,10,2025-01-21,704,282
1,1,2025-01-22,122,366
1,2,2025-01-22,223,382
2,3,2025-01-22,7,420
2,4,2025-01-22,14,420
3,5,2025-01-22,292,389
3,6,2025-01-22,365,313
4,7,2025-01-22,52,208
4,8,2025-01-22,101,303
5,9,2025-01-22,930,310
5,10,2025-01-22,532,213
1,1,2025-01-23,101,303
1,2,2025-01-23,142,243
2,3,2025-01-23,9,540
2,4,2025-01-23,15,450
3,5,2025-01-23,218,291
3,6,2025-01-23,400,343
4,7,2025-01-23,59,236
4,8,2025-01-23,70,210
5,9,2025-01-23,772,257
5,10,2025-01-23,862,345
1,1,2025-01-24,120,360
1,2,2025-01-24,147,252
2,3,2025-01-24,6,360
2,4,2025-01-24,8,240
3,5,2025-01-24,168,224
3,6,2025-01-24,334,286
4,7,2025-01-24,49,196
4,8,2025-01-24,135,405
5,9,2025-01-24,943,314
5,10,2025-01-24,642,257
1,1,2025-01-25,73,219
1,2,2025-01-25,121,207
2,3,2025-01-25,3,180
2,4,2025-01-25,9,270
3,5,2025-01-25,116,155
3,6,2025-01-25,261,224
4,7,2025-01-25,49,196
4,8,2025-01-25,78,234
5,9,2025-01-25,569,190
5,10,2025-01-25,541,216
1,1,2025-01-27,109,327
1,2,2025-01-27,233,399
2,3,2025-01-27,4,240
2,4,2025-01-27,8,240
3,5,2025-01-27,175,233
3,6,2025-01-27,353,303
4,7,2025-01-27,66,264
4,8,2025-01-27,83,249
5,9,2025-01-27,954,318
5,10,2025-01-27,598,239
1,1,2025-01-28,92,276
1,2,2025-01-28,208,357
2,3,2025-01-28,8,480
2,4,2025-01-28,9,270
3,5,2025-01-28,268,357
3,6,2025-01-28,296,254
4,7,2025-01-28,62,248
4,8,2025-01-28,129,387
5,9,2025-01-28,955,318
5,10,2025-01-28,947,379
1,1,2025-01-29,139,417
1,2,2025-01-29,149,255
2,3,2025-01-29,8,480
2,4,2025-01-29,15,450
3,5,2025-01-29,185,247
3,6,2025-01-29,262,225
4,7,2025-01-29,86,344
4,8,2025-01-29,139,417
5,9,2025-01-29,715,238
5,10,2025-01-29,996,398
1,1,2025-01-30,85,255
1,2,2025-01-30,236,405
2,3,2025-01-30,11,660
2,4,2025-01-30,10,300
3,5,2025-01-30,202,269
3,6,2025-01-30,354,303
4,7,2025-01-30,76,304
4,8,2025-01-30,131,393
5,9,2025-01-30,918,306
5,10,2025-01-30,942,377
1,1,2025-01-31,105,315
1,2,2025-01-31,147,252
2,3,2025-01-31,6,360
2,4,2025-01-31,13,390
3,5,2025-01-31,160,213
3,6,2025-01-31,349,299
4,7,2025-01-31,61,244
4,8,2025-01-31,128,384
5,9,2025-01-31,992,331
5,10,2025-01-31,716,286
1,1,2025-02-01,74,222
1,2,2025-02-01,140,240
2,3,2025-02-01,7,420
2,4,2025-02-01,9,270
3,5,2025-02-01,170,227
3,6,2025-02-01,173,148
4,7,2025-02-01,34,136
4,8,2025-02-01,64,192
5,9,2025-02-01,553,184
5,10,2025-02-01,597,239
1,1,2025-02-03,110,330
1,2,2025-02-03,204,350
2,3,2025-02-03,11,660
2,4,2025-02-03,15,450
3,5,2025-02-03,200,267
3,6,2025-02-03,264,226
4,7,2025-02-03,77,308
4,8,2025-02-03,80,240
5,9,2025-02-03,890,297
5,10,2025-02-03,535,214
1,1,2025-02-04,118,354
1,2,2025-02-04,148,254
2,3,2025-02-04,10,600
2,4,2025-02-04,10,300
3,5,2025-02-04,263,351
3,6,2025-02-04,280,240
4,7,2025-02-04,81,324
4,8,2025-02-04,101,303
5,9,2025-02-04,1292,431
5,10,2025-02-04,804,322
1,1,2025-02-05,82,246
1,2,2025-02-05,219,375
2,3,2025-02-05,4,240
2,4,2025-02-05,13,390
3,5,2025-02-05,293,391
3,6,2025-02-05,330,283
4,7,2025-02-05,61,244
4,8,2025-02-05,96,288
5,9,2025-02-05,1021,340
5,10,2025-02-05,622,249
1,1,2025-02-06,96,288
1,2,2025-02-06,190,326
2,3,2025-02-06,6,360
2,4,2025-02-06,11,330
3,5,2025-02-06,277,369
3,6,2025-02-06,330,283
4,7,2025-02-06,49,196
4,8,2025-02-06,71,213
5,9,2025-02-06,1169,390
5,10,2025-02-06,818,327
1,1,2025-02-07,116,348
1,2,2025-02-07,152,261
2,3,2025-02-07,4,240
2,4,2025-02-07,15,450
3,5,2025-02-07,214,285
3,6,2025-02-07,379,325
4,7,2025-02-07,61,244
4,8,2025-02-07,86,258
5,9,2025-02-07,1057,352
5,10,2025-02-07,951,380
1,1,2025-02-08,50,150
1,2,2025-02-08,103,177
2,3,2025-02-08,4,240
2,4,2025-02-08,7,210
3,5,2025-02-08,120,160
3,6,2025-02-08,217,186
4,7,2025-02-08,47,188
4,8,2025-02-08,65,195
5,9,2025-02-08,745,248
5,10,2025-02-08,302,121
1,1,2025-02-10,97,291
1,2,2025-02-10,176,302
2,3,2025-02-10,9,540
2,4,2025-02-10,10,300
3,5,2025-02-10,247,329
3,6,2025-02-10,302,259
4,7,2025-02-10,88,352
4,8,2025-02-10,103,309
5,9,2025-02-10,1217,406
5,10,2025-02-10,750,300
1,1,2025-02-11,96,288
1,2,2025-02-11,146,250
2,3,2025-02-11,4,240
2,4,2025-02-11,13,390
3,5,2025-02-11,230,307
3,6,2025-02-11,261,224
4,7,2025-02-11,45,180
4,8,2025-02-11,112,336
5,9,2025-02-11,833,278
5,10,2025-02-11,826,330
1,1,2025-02-12,96,288
1,2,2025-02-12,160,274
2,3,2025-02-12,10,600
2,4,2025-02-12,14,420
3,5,2025-02-12,269,359
3,6,2025-02-12,393,337
4,7,2025-02-12,45,180
4,8,2025-02-12,84,252
5,9,2025-02-12,777,259
5,10,2025-02-12,983,393
1,1,2025-02-13,136,408
1,2,2025-02-13,228,391
2,3,2025-02-13,6,360
2,4,2025-02-13,15,450
3,5,2025-02-13,169,225
3,6,2025-02-13,344,295
4,7,2025-02-13,82,328
4,8,2025-02-13,140,420
5,9,2025-02-13,851,284
5,10,2025-02-13,720,288
1,1,2025-02-14,88,264
1,2,2025-02-14,145,249
2,3,2025-02-14,7,420
2,4,2025-02-14,12,360
3,5,2025-02-14,170,227
3,6,2025-02-14,341,292
4,7,2025-02-14,58,232
4,8,2025-02-14,101,303
5,9,2025-02-14,805,268
5,10,2025-02-14,681,272
1,1,2025-02-15,77,231
1,2,2025-02-15,127,218
2,3,2025-02-15,7,420
2,4,2025-02-15,8,240
3,5,2025-02-15,119,159
3,6,2025-02-15,186,159
4,7,2025-02-15,33,132
4,8,2025-02-15,55,165
5,9,2025-02-15,673,224
5,10,2025-02-15,307,123
1,1,2025-02-17,82,246
1,2,2025-02-17,200,343
2,3,2025-02-17,6,360
2,4,2025-02-17,10,300
3,5,2025-02-17,277,369
3,6,2025-02-17,339,291
4,7,2025-02-17,64,256
4,8,2025-02-17,99,297
5,9,2025-02-17,928,309
5,10,2025-02-17,512,205
1,1,2025-02-18,122,366
1,2,2025-02-18,164,281
2,3,2025-02-18,8,480
2,4,2025-02-18,12,360
3,5,2025-02-18,231,308
3,6,2025-02-18,267,229
4,7,2025-02-18,62,248
4,8,2025-02-18,114,342
5,9,2025-02-18,1221,407
5,10,2025-02-18,704,282
1,1,2025-02-19,123,369
1,2,2025-02-19,208,357
2,3,2025-02-19,7,420
2,4,2025-02-19,7,210
3,5,2025-02-19,189,252
3,6,2025-02-19,316,271
4,7,2025-02-19,56,224
4,8,2025-02-19,103,309
5,9,2025-02-19,739,246
5,10,2025-02-19,555,222
1,1,2025-02-20,118,354
1,2,2025-02-20,195,334
2,3,2025-02-20,7,420
2,4,2025-02-20,12,360
3,5,2025-02-20,271,361
3,6,2025-02-20,405,347
4,7,2025-02-20,77,308
4,8,2025-02-20,84,252
5,9,2025-02-20,1094,365
5,10,2025-02-20,960,384
1,1,2025-02-21,116,348
1,2,2025-02-21,164,281
2,3,2025-02-21,7,420
2,4,2025-02-21,7,210
3,5,2025-02-21,271,361
3,6,2025-02-21,250,214
4,7,2025-02-21,78,312
4,8,2025-02-21,138,414
5,9,2025-02-21,901,300
5,10,2025-02-21,686,274
1,1,2025-02-22,64,192
1,2,2025-02-22,89,153
2,3,2025-02-22,6,360
2,4,2025-02-22,8,240
3,5,2025-02-22,144,192
3,6,2025-02-22,251,215
4,7,2025-02-22,31,124
4,8,2025-02-22,65,195
5,9,2025-02-22,731,244
5,10,2025-02-22,395,158
1,1,2025-02-24,140,420
1,2,2025-02-24,188,322
2,3,2025-02-24,10,600
2,4,2025-02-24,9,270
3,5,2025-02-24,237,316
3,6,2025-02-24,353,303
4,7,2025-02-24,80,320
4,8,2025-02-24,70,210
5,9,2025-02-24,1011,337
5,10,2025-02-24,646,258
1,1,2025-02-25,93,279
1,2,2025-02-25,195,334
2,3,2025-02-25,11,660
2,4,2025-02-25,12,360
3,5,2025-02-25,279,372
3,6,2025-02-25,363,311
4,7,2025-02-25,73,292
4,8,2025-02-25,97,291
5,9,2025-02-25,1223,408
5,10,2025-02-25,742,297
1,1,2025-02-26,130,390
1,2,2025-02-26,234,401
2,3,2025-02-26,6,360
2,4,2025-02-26,8,240
3,5,2025-02-26,232,309
3,6,2025-02-26,381,327
4,7,2025-02-26,87,348
4,8,2025-02-26,112,336
5,9,2025-02-26,795,265
5,10,2025-02-26,919,368
1,1,2025-02-27,140,420
1,2,2025-02-27,236,405
2,3,2025-02-27,6,360
2,4,2025-02-27,11,330
3,5,2025-02-27,217,289
3,6,2025-02-27,300,257
4,7,2025-02-27,54,216
4,8,2025-02-27,73,219
5,9,2025-02-27,747,249
5,10,2025-02-27,625,250
1,1,2025-02-28,110,330
1,2,2025-02-28,218,374
2,3,2025-02-28,11,660
2,4,2025-02-28,8,240
3,5,2025-02-28,276,368
3,6,2025-02-28,356,305
4,7,2025-02-28,85,340
4,8,2025-02-28,94,282
5,9,2025-02-28,1093,364
5,10,2025-02-28,753,301
1,1,2025-03-01,63,189
1,2,2025-03-01,103,177
2,3,2025-03-01,3,180
2,4,2025-03-01,4,120
3,5,2025-03-01,123,164
3,6,2025-03-01,296,254
4,7,2025-03-01,43,172
4,8,2025-03-01,59,177
5,9,2025-03-01,528,176
5,10,2025-03-01,547,219
1,1,2025-03-03,113,339
1,2,2025-03-03,211,362
2,3,2025-03-03,8,480
2,4,2025-03-03,11,330
3,5,2025-03-03,300,400
3,6,2025-03-03,447,383
4,7,2025-03-03,77,308
4,8,2025-03-03,124,372
5,9,2025-03-03,1261,420
5,10,2025-03-03,728,291
1,1,2025-03-04,137,411
1,2,2025-03-04,160,274
2,3,2025-03-04,9,540
2,4,2025-03-04,13,390
3,5,2025-03-04,302,403
3,6,2025-03-04,348,298
4,7,2025-03-04,60,240
4,8,2025-03-04,105,315
5,9,2025-03-04,1233,411
5,10,2025-03-04,748,299
1,1,2025-03-05,120,360
1,2,2025-03-05,170,291
2,3,2025-03-05,6,360
2,4,2025-03-05,13,390
3,5,2025-03-05,197,263
3,6,2025-03-05,475,407
4,7,2025-03-05,63,252
4,8,2025-03-05,100,300
5,9,2025-03-05,978,326
5,10,2025-03-05,671,268
1,1,2025-03-06,100,300
1,2,2025-03-06,209,358
2,3,2025-03-06,4,240
2,4,2025-03-06,8,240
3,5,2025-03-06,218,291
3,6,2025-03-06,340,291
4,7,2025-03-06,69,276
4,8,2025-03-06,89,267
5,9,2025-03-06,919,306
5,10,2025-03-06,532,213
1,1,2025-03-07,106,318
1,2,2025-03-07,192,329
2,3,2025-03-07,6,360
2,4,2025-03-07,14,420
3,5,2025-03-07,307,409
3,6,2025-03-07,392,336
4,7,2025-03-07,48,192
4,8,2025-03-07,96,288
5,9,2025-03-07,1130,377
5,10,2025-03-07,699,280
1,1,2025-03-08,82,246
1,2,2025-03-08,143,245
2,3,2025-03-08,5,300
2,4,2025-03-08,4,120
3,5,2025-03-08,169,225
3,6,2025-03-08,245,210
4,7,2025-03-08,27,108
4,8,2025-03-08,69,207
5,9,2025-03-08,603,201
5,10,2025-03-08,531,212
1,1,2025-03-10,81,243
1,2,2025-03-10,189,324
2,3,2025-03-10,6,360
2,4,2025-03-10,12,360
3,5,2025-03-10,222,296
3,6,2025-03-10,406,348
4,7,2025-03-10,53,212
4,8,2025-03-10,138,414
5,9,2025-03-10,727,242
5,10,2025-03-10,964,386
1,1,2025-03-11,105,315
1,2,2025-03-11,215,369
2,3,2025-03-11,8,480
2,4,2025-03-11,6,180
3,5,2025-03-11,199,265
3,6,2025-03-11,455,390
4,7,2025-03-11,72,288
4,8,2025-03-11,87,261
5,9,2025-03-11,1172,391
5,10,2025-03-11,593,237
1,1,2025-03-12,83,249
1,2,2025-03-12,173,297
2,3,2025-03-12,7,420
2,4,2025-03-12,11,330
3,5,2025-03-12,235,313
3,6,2025-03-12,403,345
4,7,2025-03-12,65,260
4,8,2025-03-12,113,339
5,9,2025-03-12,1088,363
5,10,2025-03-12,642,257
1,1,2025-03-13,128,384
1,2,2025-03-13,193,331
2,3,2025-03-13,6,360
2,4,2025-03-13,7,210
3,5,2025-03-13,308,411
3,6,2025-03-13,279,239
4,7,2025-03-13,79,316
4,8,2025-03-13,76,228
5,9,2025-03-13,1058,353
5,10,2025-03-13,614,246
1,1,2025-03-14,121,363
1,2,2025-03-14,148,254
2,3,2025-03-14,10,600
2,4,2025-03-14,6,180
3,5,2025-03-14,184,245
3,6,2025-03-14,344,295
4,7,2025-03-14,57,228
4,8,2025-03-14,72,216
5,9,2025-03-14,856,285
5,10,2025-03-14,622,249
1,1,2025-03-15,53,159
1,2,2025-03-15,120,206
2,3,2025-03-15,5,300
2,4,2025-03-15,4,120
3,5,2025-03-15,142,189
3,6,2025-03-15,243,208
4,7,2025-03-15,53,212
4,8,2025-03-15,61,183
5,9,2025-03-15,646,215
5,10,2025-03-15,351,140
1,1,2025-03-17,123,369
1,2,2025-03-17,188,322
2,3,2025-03-17,7,420
2,4,2025-03-17,9,270
3,5,2025-03-17,197,263
3,6,2025-03-17,441,378
4,7,2025-03-17,89,356
4,8,2025-03-17,101,303
5,9,2025-03-17,804,268
5,10,2025-03-17,856,342
1,1,2025-03-18,129,387
1,2,2025-03-18,178,305
2,3,2025-03-18,10,600
2,4,2025-03-18,7,210
3,5,2025-03-18,187,249
3,6,2025-03-18,372,319
4,7,2025-03-18,79,316
4,8,2025-03-18,124,372
5,9,2025-03-18,1079,360
5,10,2025-03-18,535,214
1,1,2025-03-19,112,336
1,2,2025-03-19,222,381
2,3,2025-03-19,6,360
2,4,2025-03-19,6,180
3,5,2025-03-19,294,392
3,6,2025-03-19,413,354
4,7,2025-03-19,51,204
4,8,2025-03-19,125,375
5,9,2025-03-19,1070,357
5,10,2025-03-19,825,330
1,1,2025-03-20,137,411
1,2,2025-03-20,198,339
2,3,2025-03-20,9,540
2,4,2025-03-20,8,240
3,5,2025-03-20,298,397
3,6,2025-03-20,324,278
4,7,2025-03-20,78,312
4,8,2025-03-20,104,312
5,9,2025-03-20,1251,417
5,10,2025-03-20,896,358
1,1,2025-03-21,110,330
1,2,2025-03-21,199,341
2,3,2025-03-21,7,420
2,4,2025-03-21,10,300
3,5,2025-03-21,266,355
3,6,2025-03-21,343,294
4,7,2025-03-21,50,200
4,8,2025-03-21,105,315
5,9,2025-03-21,1161,387
5,10,2025-03-21,624,250
1,1,2025-03-22,77,231
1,2,2025-03-22,119,204
2,3,2025-03-22,5,300
2,4,2025-03-22,7,210
3,5,2025-03-22,163,217
3,6,2025-03-22,169,145
4,7,2025-03-22,46,184
4,8,2025-03-22,67,201
5,9,2025-03-22,532,177
5,10,2025-03-22,449,180
1,1,2025-03-24,113,339
1,2,2025-03-24,164,281
2,3,2025-03-24,4,240
2,4,2025-03-24,9,270
3,5,2025-03-24,290,387
3,6,2025-03-24,413,354
4,7,2025-03-24,80,320
4,8,2025-03-24,100,300
5,9,2025-03-24,1187,396
5,10,2025-03-24,830,332
1,1,2025-03-25,125,375
1,2,2025-03-25,202,346
2,3,2025-03-25,7,420
2,4,2025-03-25,6,180
3,5,2025-03-25,201,268
3,6,2025-03-25,358,307
4,7,2025-03-25,59,236
4,8,2025-03-25,121,363
5,9,2025-03-25,949,316
5,10,2025-03-25,656,262
1,1,2025-03-26,122,366
1,2,2025-03-26,214,367
2,3,2025-03-26,6,360
2,4,2025-03-26,13,390
3,5,2025-03-26,324,432
3,6,2025-03-26,372,319
4,7,2025-03-26,72,288
4,8,2025-03-26,140,420
5,9,2025-03-26,1038,346
5,10,2025-03-26,680,272
1,1,2025-03-27,124,372
1,2,2025-03-27,198,339
2,3,2025-03-27,6,360
2,4,2025-03-27,10,300
3,5,2025-03-27,246,328
3,6,2025-03-27,340,291
4,7,2025-03-27,52,208
4,8,2025-03-27,94,282
5,9,2025-03-27,1023,341
5,10,2025-03-27,561,224
1,1,2025-03-28,127,381
1,2,2025-03-28,208,357
2,3,2025-03-28,10,600
2,4,2025-03-28,8,240
3,5,2025-03-28,230,307
3,6,2025-03-28,336,288
4,7,2025-03-28,75,300
4,8,2025-03-28,105,315
5,9,2025-03-28,1237,412
5,10,2025-03-28,805,322
1,1,2025-03-29,59,177
1,2,2025-03-29,91,156
2,3,2025-03-29,6,360
2,4,2025-03-29,5,150
3,5,2025-03-29,155,207
3,6,2025-03-29,204,175
4,7,2025-03-29,41,164
4,8,2025-03-29,55,165
5,9,2025-03-29,605,202
5,10,2025-03-29,304,122
1,1,2025-03-31,135,405
1,2,2025-03-31,236,405
2,3,2025-03-31,7,420
2,4,2025-03-31,7,210
3,5,2025-03-31,179,239
3,6,2025-03-31,436,374
4,7,2025-03-31,63,252
4,8,2025-03-31,130,390
5,9,2025-03-31,1190,397
5,10,2025-03-31,725,290
1,1,2025-04-01,101,303
1,2,2025-04-01,163,279
2,3,2025-04-01,4,240
2,4,2025-04-01,10,300
3,5,2025-04-01,310,413
3,6,2025-04-01,307,263
4,7,2025-04-01,49,196
4,8,2025-04-01,121,363
5,9,2025-04-01,1203,401
5,10,2025-04-01,537,215
1,1,2025-04-02,116,348
1,2,2025-04-02,220,377
2,3,2025-04-02,9,540
2,4,2025-04-02,6,180
3,5,2025-04-02,218,291
3,6,2025-04-02,317,272
4,7,2025-04-02,81,324
4,8,2025-04-02,108,324
5,9,2025-04-02,787,262
5,10,2025-04-02,627,251
1,1,2025-04-03,87,261
1,2,2025-04-03,211,362
2,3,2025-04-03,10,600
2,4,2025-04-03,12,360
3,5,2025-04-03,239,319
3,6,2025-04-03,493,423
4,7,2025-04-03,78,312
4,8,2025-04-03,118,354
5,9,2025-04-03,1161,387
5,10,2025-04-03,965,386
1,1,2025-04-04,108,324
1,2,2025-04-04,178,305
2,3,2025-04-04,10,600
2,4,2025-04-04,12,360
3,5,2025-04-04,262,349
3,6,2025-04-04,435,373
4,7,2025-04-04,84,336
4,8,2025-04-04,77,231
5,9,2025-04-04,801,267
5,10,2025-04-04,985,394
1,1,2025-04-05,77,231
1,2,2025-04-05,100,171
2,3,2025-04-05,5,300
2,4,2025-04-05,5,150
3,5,2025-04-05,150,200
3,6,2025-04-05,276,237
4,7,2025-04-05,30,120
4,8,2025-04-05,54,162
5,9,2025-04-05,567,189
5,10,2025-04-05,353,141
1,1,2025-04-07,94,282
1,2,2025-04-07,176,302
2,3,2025-04-07,9,540
2,4,2025-04-07,10,300
3,5,2025-04-07,304,405
3,6,2025-04-07,295,253
4,7,2025-04-07,88,352
4,8,2025-04-07,99,297
5,9,2025-04-07,970,323
5,10,2025-04-07,903,361
1,1,2025-04-08,130,390
1,2,2025-04-08,220,377
2,3,2025-04-08,8,480
2,4,2025-04-08,9,270
3,5,2025-04-08,295,393
3,6,2025-04-08,307,263
4,7,2025-04-08,79,316
4,8,2025-04-08,98,294
5,9,2025-04-08,852,284
5,10,2025-04-08,965,386
1,1,2025-04-09,97,291
1,2,2025-04-09,158,271
2,3,2025-04-09,4,240
2,4,2025-04-09,6,180
3,5,2025-04-09,222,296
3,6,2025-04-09,361,309
4,7,2025-04-09,83,332
4,8,2025-04-09,106,318
5,9,2025-04-09,1149,383
5,10,2025-04-09,563,225
1,1,2025-04-10,109,327
1,2,2025-04-10,228,391
2,3,2025-04-10,6,360
2,4,2025-04-10,12,360
3,5,2025-04-10,252,336
3,6,2025-04-10,416,357
4,7,2025-04-10,79,316
4,8,2025-04-10,133,399
5,9,2025-04-10,1148,383
5,10,2025-04-10,541,216
1,1,2025-04-11,118,354
1,2,2025-04-11,145,249
2,3,2025-04-11,7,420
2,4,2025-04-11,11,330
3,5,2025-04-11,246,328
3,6,2025-04-11,282,242
4,7,2025-04-11,50,200
4,8,2025-04-11,99,297
5,9,2025-04-11,1289,430
5,10,2025-04-11,800,320
1,1,2025-04-12,84,252
1,2,2025-04-12,85,146
2,3,2025-04-12,6,360
2,4,2025-04-12,6,180
3,5,2025-04-12,112,149
3,6,2025-04-12,294,252
4,7,2025-04-12,34,136
4,8,2025-04-12,78,234
5,9,2025-04-12,739,246
5,10,2025-04-12,500,200
1,1,2025-04-14,100,300
1,2,2025-04-14,225,386
2,3,2025-04-14,4,240
2,4,2025-04-14,8,240
3,5,2025-04-14,268,357
3,6,2025-04-14,391,335
4,7,2025-04-14,89,356
4,8,2025-04-14,133,399
5,9,2025-04-14,995,332
5,10,2025-04-14,839,336
1,1,2025-04-15,140,420
1,2,2025-04-15,191,327
2,3,2025-04-15,10,600
2,4,2025-04-15,14,420
3,5,2025-04-15,186,248
3,6,2025-04-15,403,345
4,7,2025-04-15,50,200
4,8,2025-04-15,110,330
5,9,2025-04-15,958,319
5,10,2025-04-15,665,266
1,1,2025-04-16,87,261
1,2,2025-04-16,238,408
2,3,2025-04-16,7,420
2,4,2025-04-16,14,420
3,5,2025-04-16,176,235
3,6,2025-04-16,460,394
4,7,2025-04-16,79,316
4,8,2025-04-16,129,387
5,9,2025-04-16,1123,374
5,10,2025-04-16,527,211
1,1,2025-04-17,92,276
1,2,2025-04-17,206,353
2,3,2025-04-17,6,360
2,4,2025-04-17,13,390
3,5,2025-04-17,300,400
3,6,2025-04-17,488,418
4,7,2025-04-17,48,192
4,8,2025-04-17,96,288
5,9,2025-04-17,973,324
5,10,2025-04-17,781,312
1,1,2025-04-18,88,264
1,2,2025-04-18,176,302
2,3,2025-04-18,7,420
2,4,2025-04-18,13,390
3,5,2025-04-18,210,280
3,6,2025-04-18,283,243
