site_id,water_date,water_consumption_m3,water_cost
2,2025-03-28,21.91,92.02
3,2025-03-28,111.53,468.43
4,2025-03-28,50.85,213.57
5,2025-03-28,404.0,1696.8
1,2025-03-29,26.41,110.92
2,2025-03-29,12.73,53.47
3,2025-03-29,45.92,192.86
4,2025-03-29,24.5,102.9
5,2025-03-29,127.67,536.21
1,2025-03-31,74.11,311.26
2,2025-03-31,20.7,86.94
3,2025-03-31,114.03,478.93
4,2025-03-31,50.83,213.49
5,2025-03-31,382.93,1608.31
1,2025-04-01,58.46,245.53
2,2025-04-01,20.33,85.39
3,2025-04-01,115.62,485.6
4,2025-04-01,51.16,214.87
5,2025-04-01,361.5,1518.3
1,2025-04-02,71.07,298.49
2,2025-04-02,21.44,90.05
3,2025-04-02,102.17,429.11
4,2025-04-02,51.14,214.79
5,2025-04-02,281.71,1183.18
1,2025-04-03,62.4,262.08
2,2025-04-03,21.61,90.76
3,2025-04-03,134.87,566.45
4,2025-04-03,52.4,220.08
5,2025-04-03,423.19,1777.4
1,2025-04-04,61.96,260.23
2,2025-04-04,21.14,88.79
3,2025-04-04,128.21,538.48
4,2025-04-04,50.03,210.13
5,2025-04-04,374.24,1571.81
1,2025-04-05,28.57,119.99
2,2025-04-05,11.96,50.23
3,2025-04-05,52.82,221.84
4,2025-04-05,24.56,103.15
5,2025-04-05,122.51,514.54
1,2025-04-07,62.32,261.74
2,2025-04-07,22.06,92.65
3,2025-04-07,115.82,486.44
4,2025-04-07,49.3,207.06
5,2025-04-07,367.73,1544.47
1,2025-04-08,66.67,280.01
2,2025-04-08,20.81,87.4
3,2025-04-08,114.02,478.88
4,2025-04-08,51.44,216.05
5,2025-04-08,353.29,1483.82
1,2025-04-09,58.1,244.02
2,2025-04-09,21.07,88.49
3,2025-04-09,108.04,453.77
4,2025-04-09,51.9,217.98
5,2025-04-09,349.96,1469.83
1,2025-04-10,66.69,280.1
2,2025-04-10,21.77,91.43
3,2025-04-10,118.06,495.85
4,2025-04-10,54.54,229.07
5,2025-04-10,355.36,1492.51
1,2025-04-11,57.22,240.32
2,2025-04-11,21.28,89.38
3,2025-04-11,99.86,419.41
4,2025-04-11,49.05,206.01
5,2025-04-11,418.77,1758.83
1,2025-04-12,27.67,116.21
2,2025-04-12,12.26,51.49
3,2025-04-12,52.71,221.38
4,2025-04-12,25.81,108.4
5,2025-04-12,163.8,687.96
1,2025-04-14,68.12,286.1
2,2025-04-14,21.98,92.32
3,2025-04-14,124.02,520.88
4,2025-04-14,56.64,237.89
5,2025-04-14,386.69,1624.1
1,2025-04-15,68.48,287.62
2,2025-04-15,22.4,94.08
3,2025-04-15,112.4,472.08
4,2025-04-15,49.59,208.28
5,2025-04-15,335.74,1410.11
1,2025-04-16,69.66,292.57
2,2025-04-16,22.21,93.28
3,2025-04-16,119.1,500.22
4,2025-04-16,51.53,216.43
5,2025-04-16,330.43,1387.81
1,2025-04-17,64.64,271.49
2,2025-04-17,22.09,92.78
3,2025-04-17,142.5,598.5
4,2025-04-17,46.99,197.36
5,2025-04-17,349.66,1468.57
1,2025-04-18,57.16,240.07
2,2025-04-18,21.14,88.79
3,2025-04-18,95.71,401.98
4,2025-04-18,49.59,208.28
5,2025-04-18,317.05,1331.61
1,2025-04-19,26.88,112.9
2,2025-04-19,12.24,51.41
3,2025-04-19,44.31,186.1
4,2025-04-19,26.21,110.08
5,2025-04-19,126.47,531.17
1,2025-04-21,62.58,262.84
2,2025-04-21,21.37,89.75
3,2025-04-21,114.82,482.24
4,2025-04-21,52.22,219.32
5,2025-04-21,359.68,1510.66
1,2025-04-22,61.47,258.17
2,2025-04-22,21.94,92.15
3,2025-04-22,129.84,545.33
4,2025-04-22,46.81,196.6
5,2025-04-22,386.81,1624.6
1,2025-04-23,64.89,272.54
2,2025-04-23,20.61,86.56
3,2025-04-23,114.97,482.87
4,2025-04-23,54.34,228.23
5,2025-04-23,364.59,1531.28
1,2025-04-24,73.42,308.36
2,2025-04-24,21.43,90.01
3,2025-04-24,127.43,535.21
4,2025-04-24,47.92,201.26
5,2025-04-24,402.7,1691.34
1,2025-04-25,66.06,277.45
2,2025-04-25,20.45,85.89
3,2025-04-25,135.48,569.02
4,2025-04-25,48.88,205.3
5,2025-04-25,383.73,1611.67
1,2025-04-26,32.64,137.09
2,2025-04-26,12.41,52.12
3,2025-04-26,39.75,166.95
4,2025-04-26,25.9,108.78
5,2025-04-26,133.33,559.99
1,2025-04-28,70.86,297.61
2,2025-04-28,20.35,85.47
3,2025-04-28,134.31,564.1
4,2025-04-28,48.51,203.74
5,2025-04-28,372.7,1565.34
1,2025-04-29,67.35,282.87
2,2025-04-29,20.97,88.07
3,2025-04-29,115.51,485.14
4,2025-04-29,46.03,193.33
5,2025-04-29,355.0,1491.0
1,2025-04-30,62.04,260.57
2,2025-04-30,20.6,86.52
3,2025-04-30,116.98,491.32
4,2025-04-30,48.11,202.06
5,2025-04-30,363.97,1528.67
1,2025-05-01,66.37,278.75
2,2025-05-01,20.28,85.18
3,2025-05-01,103.05,432.81
4,2025-05-01,47.41,199.12
5,2025-05-01,367.98,1545.52
1,2025-05-02,62.16,261.07
2,2025-05-02,21.28,89.38
3,2025-05-02,107.95,453.39
4,2025-05-02,46.88,196.9
5,2025-05-02,391.29,1643.42
1,2025-05-03,30.22,126.92
2,2025-05-03,12.99,54.56
3,2025-05-03,47.75,200.55
4,2025-05-03,24.68,103.66
5,2025-05-03,136.91,575.02
1,2025-05-05,64.38,270.4
2,2025-05-05,21.8,91.56
3,2025-05-05,139.49,585.86
4,2025-05-05,49.46,207.73
5,2025-05-05,338.42,1421.36
1,2025-05-06,66.32,278.54
2,2025-05-06,20.34,85.43
3,2025-05-06,133.26,559.69
4,2025-05-06,50.62,212.6
5,2025-05-06,302.22,1269.32
1,2025-05-07,73.1,307.02
2,2025-05-07,22.35,93.87
3,2025-05-07,111.12,466.7
4,2025-05-07,46.1,193.62
5,2025-05-07,418.11,1756.06
1,2025-05-08,66.72,280.22
2,2025-05-08,22.51,94.54
3,2025-05-08,114.6,481.32
4,2025-05-08,50.97,214.07
5,2025-05-08,351.0,1474.2
1,2025-05-09,72.56,304.75
2,2025-05-09,21.71,91.18
3,2025-05-09,117.1,491.82
4,2025-05-09,49.41,207.52
5,2025-05-09,400.99,1684.16
1,2025-05-10,27.95,117.39
2,2025-05-10,12.1,50.82
3,2025-05-10,44.16,185.47
4,2025-05-10,26.22,110.12
5,2025-05-10,134.14,563.39
1,2025-05-12,68.19,286.4
2,2025-05-12,21.32,89.54
3,2025-05-12,110.77,465.23
4,2025-05-12,46.55,195.51
5,2025-05-12,365.75,1536.15
1,2025-05-13,68.54,287.87
2,2025-05-13,20.82,87.44
3,2025-05-13,115.8,486.36
4,2025-05-13,46.73,196.27
5,2025-05-13,367.62,1544.0
1,2025-05-14,63.49,266.66
2,2025-05-14,21.14,88.79
3,2025-05-14,137.7,578.34
4,2025-05-14,49.29,207.02
5,2025-05-14,336.48,1413.22
1,2025-05-15,65.97,277.07
2,2025-05-15,21.6,90.72
3,2025-05-15,128.04,537.77
4,2025-05-15,49.48,207.82
5,2025-05-15,382.01,1604.44
1,2025-05-16,57.83,242.89
2,2025-05-16,21.61,90.76
3,2025-05-16,109.4,459.48
4,2025-05-16,46.02,193.28
5,2025-05-16,308.77,1296.83
1,2025-05-17,30.89,129.74
2,2025-05-17,12.44,52.25
3,2025-05-17,51.87,217.85
4,2025-05-17,26.97,113.27
5,2025-05-17,143.08,600.94
1,2025-05-19,67.61,283.96
2,2025-05-19,20.76,87.19
3,2025-05-19,116.69,490.1
4,2025-05-19,48.4,203.28
5,2025-05-19,369.72,1552.82
1,2025-05-20,73.78,309.88
2,2025-05-20,21.38,89.8
3,2025-05-20,117.17,492.11
4,2025-05-20,43.94,184.55
5,2025-05-20,365.66,1535.77
1,2025-05-21,60.08,252.34
2,2025-05-21,21.67,91.01
3,2025-05-21,107.58,451.84
4,2025-05-21,47.8,200.76
5,2025-05-21,388.2,1630.44
1,2025-05-22,67.49,283.46
2,2025-05-22,21.34,89.63
3,2025-05-22,113.79,477.92
4,2025-05-22,45.47,190.97
5,2025-05-22,275.84,1158.53
1,2025-05-23,64.25,269.85
2,2025-05-23,21.1,88.62
3,2025-05-23,110.24,463.01
4,2025-05-23,44.38,186.4
5,2025-05-23,284.26,1193.89
1,2025-05-24,31.32,131.54
2,2025-05-24,12.79,53.72
3,2025-05-24,40.88,171.7
4,2025-05-24,24.67,103.61
5,2025-05-24,132.68,557.26
1,2025-05-26,60.07,252.29
2,2025-05-26,20.32,85.34
3,2025-05-26,122.42,514.16
4,2025-05-26,44.92,188.66
5,2025-05-26,314.38,1320.4
1,2025-05-27,68.76,288.79
2,2025-05-27,20.46,85.93
3,2025-05-27,138.31,580.9
4,2025-05-27,47.13,197.95
5,2025-05-27,309.07,1298.09
1,2025-05-28,64.03,268.93
2,2025-05-28,21.01,88.24
3,2025-05-28,126.64,531.89
4,2025-05-28,52.32,219.74
5,2025-05-28,342.07,1436.69
1,2025-05-29,65.17,273.71
2,2025-05-29,20.83,87.49
3,2025-05-29,131.58,552.64
4,2025-05-29,47.56,199.75
5,2025-05-29,349.47,1467.77
1,2025-05-30,72.57,304.79
2,2025-05-30,22.04,92.57
3,2025-05-30,121.3,509.46
4,2025-05-30,47.36,198.91
5,2025-05-30,378.74,1590.71
1,2025-05-31,31.03,130.33
2,2025-05-31,12.99,54.56
3,2025-05-31,45.24,190.01
4,2025-05-31,25.66,107.77
5,2025-05-31,131.55,552.51
1,2025-06-02,69.97,293.87
2,2025-06-02,22.53,94.63
3,2025-06-02,146.44,615.05
4,2025-06-02,56.19,236.0
5,2025-06-02,361.41,1517.92
1,2025-06-03,73.23,307.57
2,2025-06-03,22.92,96.26
3,2025-06-03,126.35,530.67
4,2025-06-03,53.81,226.0
5,2025-06-03,352.75,1481.55
1,2025-06-04,73.5,308.7
2,2025-06-04,22.69,95.3
3,2025-06-04,150.29,631.22
4,2025-06-04,51.31,215.5
5,2025-06-04,445.15,1869.63
1,2025-06-05,74.35,312.27
2,2025-06-05,24.0,100.8
3,2025-06-05,153.25,643.65
4,2025-06-05,52.59,220.88
5,2025-06-05,338.94,1423.55
1,2025-06-06,65.4,274.68
2,2025-06-06,24.52,102.98
3,2025-06-06,149.2,626.64
4,2025-06-06,49.4,207.48
5,2025-06-06,374.41,1572.52
1,2025-06-07,33.74,141.71
2,2025-06-07,13.9,58.38
3,2025-06-07,49.34,207.23
4,2025-06-07,27.23,114.37
5,2025-06-07,151.4,635.88
1,2025-06-09,75.02,315.08
2,2025-06-09,22.44,94.25
3,2025-06-09,121.15,508.83
4,2025-06-09,54.45,228.69
5,2025-06-09,421.53,1770.43
1,2025-06-10,70.18,294.76
2,2025-06-10,23.54,98.87
3,2025-06-10,136.35,572.67
4,2025-06-10,54.81,230.2
5,2025-06-10,341.81,1435.6
1,2025-06-11,78.43,329.41
2,2025-06-11,23.74,99.71
3,2025-06-11,170.95,717.99
4,2025-06-11,52.63,221.05
5,2025-06-11,378.95,1591.59
1,2025-06-12,66.6,279.72
2,2025-06-12,23.52,98.78
3,2025-06-12,139.27,584.93
4,2025-06-12,51.86,217.81
5,2025-06-12,377.15,1584.03
1,2025-06-13,61.66,258.97
2,2025-06-13,24.64,103.49
3,2025-06-13,126.94,533.15
4,2025-06-13,55.49,233.06
5,2025-06-13,368.29,1546.82
1,2025-06-14,33.97,142.67
2,2025-06-14,14.23,59.77
3,2025-06-14,53.93,226.51
4,2025-06-14,27.33,114.79
5,2025-06-14,126.38,530.8
1,2025-06-16,64.6,271.32
2,2025-06-16,23.7,99.54
3,2025-06-16,172.82,725.84
4,2025-06-16,51.59,216.68
5,2025-06-16,457.56,1921.75
1,2025-06-17,62.01,260.44
2,2025-06-17,22.58,94.84
3,2025-06-17,137.17,576.11
4,2025-06-17,53.91,226.42
5,2025-06-17,365.52,1535.18
1,2025-06-18,72.59,304.88
2,2025-06-18,24.12,101.3
3,2025-06-18,170.88,717.7
4,2025-06-18,56.41,236.92
5,2025-06-18,425.09,1785.38
1,2025-06-19,84.45,354.69
2,2025-06-19,23.9,100.38
3,2025-06-19,123.8,519.96
4,2025-06-19,48.17,202.31
5,2025-06-19,364.79,1532.12
1,2025-06-20,71.25,299.25
2,2025-06-20,23.41,98.32
3,2025-06-20,161.9,679.98
4,2025-06-20,57.3,240.66
5,2025-06-20,458.15,1924.23
1,2025-06-21,35.75,150.15
2,2025-06-21,13.87,58.25
3,2025-06-21,59.73,250.87
4,2025-06-21,26.78,112.48
5,2025-06-21,145.25,610.05
1,2025-06-23,71.33,299.59
2,2025-06-23,23.97,100.67
3,2025-06-23,126.83,532.69
4,2025-06-23,51.8,217.56
5,2025-06-23,356.48,1497.22
1,2025-06-24,76.57,321.59
2,2025-06-24,24.51,102.94
3,2025-06-24,132.99,558.56
4,2025-06-24,54.2,227.64
5,2025-06-24,402.52,1690.58
1,2025-06-25,70.97,298.07
2,2025-06-25,24.05,101.01
3,2025-06-25,134.17,563.51
4,2025-06-25,51.33,215.59
5,2025-06-25,473.34,1988.03
1,2025-06-26,62.93,264.31
2,2025-06-26,23.68,99.46
3,2025-06-26,154.9,650.58
4,2025-06-26,52.0,218.4
5,2025-06-26,389.62,1636.4
1,2025-06-27,74.1,311.22
2,2025-06-27,23.97,100.67
3,2025-06-27,163.03,684.73
4,2025-06-27,51.13,214.75
5,2025-06-27,359.81,1511.2
1,2025-06-28,31.82,133.64
2,2025-06-28,13.75,57.75
3,2025-06-28,55.83,234.49
4,2025-06-28,26.99,113.36
5,2025-06-28,147.23,618.37
1,2025-06-30,67.83,284.89
2,2025-06-30,23.14,97.19
3,2025-06-30,153.63,645.25
4,2025-06-30,52.18,219.16
5,2025-06-30,401.92,1688.06
1,2025-07-01,73.36,308.11
2,2025-07-01,25.02,105.08
3,2025-07-01,131.78,553.48
4,2025-07-01,54.46,228.73
5,2025-07-01,400.53,1682.23
1,2025-07-02,69.47,291.77
2,2025-07-02,24.02,100.88
3,2025-07-02,131.32,551.54
4,2025-07-02,50.87,213.65
5,2025-07-02,321.88,1351.9
1,2025-07-03,82.85,347.97
2,2025-07-03,24.72,103.82
3,2025-07-03,168.01,705.64
4,2025-07-03,52.19,219.2
5,2025-07-03,435.49,1829.06
1,2025-07-04,79.97,335.87
2,2025-07-04,23.52,98.78
3,2025-07-04,128.1,538.02
4,2025-07-04,53.24,223.61
5,2025-07-04,368.43,1547.41
1,2025-07-05,33.36,140.11
2,2025-07-05,13.61,57.16
3,2025-07-05,67.14,281.99
4,2025-07-05,28.67,120.41
5,2025-07-05,154.53,649.03
1,2025-07-07,73.65,309.33
2,2025-07-07,23.37,98.15
3,2025-07-07,156.78,658.48
4,2025-07-07,54.28,227.98
5,2025-07-07,399.61,1678.36
1,2025-07-08,60.54,254.27
2,2025-07-08,24.03,100.93
3,2025-07-08,151.89,637.94
4,2025-07-08,56.06,235.45
5,2025-07-08,339.12,1424.3
1,2025-07-09,72.98,306.52
2,2025-07-09,22.9,96.18
3,2025-07-09,151.39,635.84
