site_id,waste_date,waste_type,waste_quantity_kg,recyclable
1,2025-01-07,Plastic Waste,5.13,True
1,2025-01-07,Electrical Waste,2.26,True
1,2025-01-07,Packaging Waste,3.3,False
2,2025-01-07,Metal Scrap,0.4,True
2,2025-01-07,Plastic Waste,0.22,True
2,2025-01-07,Electrical Waste,0.09,True
2,2025-01-07,Packaging Waste,0.14,False
3,2025-01-07,Metal Scrap,19.22,True
3,2025-01-07,Plastic Waste,10.88,True
3,2025-01-07,Electrical Waste,4.77,True
3,2025-01-07,Packaging Waste,6.34,False
4,2025-01-07,Metal Scrap,4.69,True
4,2025-01-07,Plastic Waste,2.26,True
4,2025-01-07,Electrical Waste,1.16,True
4,2025-01-07,Packaging Waste,1.73,False
5,2025-01-07,Metal Scrap,69.77,True
5,2025-01-07,Plastic Waste,38.43,True
5,2025-01-07,Electrical Waste,16.98,True
5,2025-01-07,Packaging Waste,23.2,False
1,2025-01-08,Metal Scrap,12.16,True
1,2025-01-08,Plastic Waste,5.99,True
1,2025-01-08,Electrical Waste,2.79,True
1,2025-01-08,Packaging Waste,3.98,False
2,2025-01-08,Metal Scrap,0.62,True
2,2025-01-08,Plastic Waste,0.34,True
2,2025-01-08,Electrical Waste,0.14,True
2,2025-01-08,Packaging Waste,0.25,False
3,2025-01-08,Metal Scrap,22.57,True
3,2025-01-08,Plastic Waste,11.51,True
3,2025-01-08,Electrical Waste,4.61,True
3,2025-01-08,Packaging Waste,6.56,False
4,2025-01-08,Metal Scrap,5.83,True
4,2025-01-08,Plastic Waste,3.04,True
4,2025-01-08,Electrical Waste,1.14,True
4,2025-01-08,Packaging Waste,1.85,False
5,2025-01-08,Metal Scrap,70.31,True
5,2025-01-08,Plastic Waste,41.63,True
5,2025-01-08,Electrical Waste,18.52,True
5,2025-01-08,Packaging Waste,24.42,False
1,2025-01-09,Metal Scrap,12.75,True
1,2025-01-09,Plastic Waste,6.65,True
1,2025-01-09,Electrical Waste,2.79,True
1,2025-01-09,Packaging Waste,4.72,False
2,2025-01-09,Metal Scrap,0.53,True
2,2025-01-09,Plastic Waste,0.26,True
2,2025-01-09,Electrical Waste,0.12,True
2,2025-01-09,Packaging Waste,0.19,False
3,2025-01-09,Metal Scrap,21.32,True
3,2025-01-09,Plastic Waste,11.22,True
3,2025-01-09,Electrical Waste,5.7,True
3,2025-01-09,Packaging Waste,8.01,False
4,2025-01-09,Metal Scrap,4.93,True
4,2025-01-09,Plastic Waste,2.57,True
4,2025-01-09,Electrical Waste,1.05,True
4,2025-01-09,Packaging Waste,1.62,False
5,2025-01-09,Metal Scrap,75.87,True
5,2025-01-09,Plastic Waste,41.04,True
5,2025-01-09,Electrical Waste,16.96,True
5,2025-01-09,Packaging Waste,25.38,False
1,2025-01-10,Metal Scrap,10.18,True
1,2025-01-10,Plastic Waste,5.87,True
1,2025-01-10,Electrical Waste,2.41,True
1,2025-01-10,Packaging Waste,4.13,False
2,2025-01-10,Metal Scrap,0.8,True
2,2025-01-10,Plastic Waste,0.35,True
2,2025-01-10,Electrical Waste,0.16,True
2,2025-01-10,Packaging Waste,0.26,False
3,2025-01-10,Metal Scrap,23.27,True
3,2025-01-10,Plastic Waste,11.76,True
3,2025-01-10,Electrical Waste,6.13,True
3,2025-01-10,Packaging Waste,8.58,False
4,2025-01-10,Metal Scrap,4.7,True
4,2025-01-10,Plastic Waste,2.57,True
4,2025-01-10,Electrical Waste,1.15,True
4,2025-01-10,Packaging Waste,1.52,False
5,2025-01-10,Metal Scrap,71.59,True
5,2025-01-10,Plastic Waste,39.49,True
5,2025-01-10,Electrical Waste,17.53,True
5,2025-01-10,Packaging Waste,26.52,False
1,2025-01-11,Metal Scrap,3.45,True
1,2025-01-11,Plastic Waste,1.75,True
1,2025-01-11,Electrical Waste,0.83,True
1,2025-01-11,Packaging Waste,1.04,False
2,2025-01-11,Metal Scrap,0.19,True
2,2025-01-11,Plastic Waste,0.1,True
2,2025-01-11,Electrical Waste,0.05,True
2,2025-01-11,Packaging Waste,0.06,False
3,2025-01-11,Metal Scrap,6.24,True
3,2025-01-11,Plastic Waste,3.39,True
3,2025-01-11,Electrical Waste,1.5,True
3,2025-01-11,Packaging Waste,2.18,False
4,2025-01-11,Metal Scrap,2.18,True
4,2025-01-11,Plastic Waste,1.28,True
4,2025-01-11,Electrical Waste,0.52,True
4,2025-01-11,Packaging Waste,0.84,False
5,2025-01-11,Metal Scrap,26.75,True
5,2025-01-11,Plastic Waste,12.4,True
5,2025-01-11,Electrical Waste,6.66,True
5,2025-01-11,Packaging Waste,9.69,False
1,2025-01-13,Metal Scrap,12.67,True
1,2025-01-13,Plastic Waste,6.47,True
1,2025-01-13,Electrical Waste,2.83,True
1,2025-01-13,Packaging Waste,3.71,False
2,2025-01-13,Metal Scrap,0.65,True
2,2025-01-13,Plastic Waste,0.32,True
2,2025-01-13,Electrical Waste,0.15,True
2,2025-01-13,Packaging Waste,0.2,False
3,2025-01-13,Metal Scrap,22.69,True
3,2025-01-13,Plastic Waste,13.12,True
3,2025-01-13,Electrical Waste,5.07,True
3,2025-01-13,Packaging Waste,8.43,False
4,2025-01-13,Metal Scrap,4.81,True
4,2025-01-13,Plastic Waste,2.46,True
4,2025-01-13,Electrical Waste,1.21,True
4,2025-01-13,Packaging Waste,1.83,False
5,2025-01-13,Metal Scrap,83.79,True
5,2025-01-13,Plastic Waste,44.48,True
5,2025-01-13,Electrical Waste,17.63,True
5,2025-01-13,Packaging Waste,27.26,False
1,2025-01-14,Metal Scrap,12.29,True
1,2025-01-14,Plastic Waste,5.87,True
1,2025-01-14,Electrical Waste,2.59,True
1,2025-01-14,Packaging Waste,4.04,False
2,2025-01-14,Metal Scrap,0.33,True
2,2025-01-14,Plastic Waste,0.19,True
2,2025-01-14,Electrical Waste,0.08,True
2,2025-01-14,Packaging Waste,0.13,False
3,2025-01-14,Metal Scrap,21.84,True
3,2025-01-14,Plastic Waste,13.17,True
3,2025-01-14,Electrical Waste,4.91,True
3,2025-01-14,Packaging Waste,7.53,False
4,2025-01-14,Metal Scrap,6.06,True
4,2025-01-14,Plastic Waste,3.17,True
4,2025-01-14,Electrical Waste,1.29,True
4,2025-01-14,Packaging Waste,1.89,False
5,2025-01-14,Metal Scrap,66.2,True
5,2025-01-14,Plastic Waste,29.98,True
5,2025-01-14,Electrical Waste,14.3,True
5,2025-01-14,Packaging Waste,21.56,False
1,2025-01-15,Metal Scrap,11.02,True
1,2025-01-15,Plastic Waste,5.86,True
1,2025-01-15,Electrical Waste,2.57,True
1,2025-01-15,Packaging Waste,4.17,False
2,2025-01-15,Metal Scrap,0.64,True
2,2025-01-15,Plastic Waste,0.37,True
2,2025-01-15,Electrical Waste,0.15,True
2,2025-01-15,Packaging Waste,0.23,False
3,2025-01-15,Metal Scrap,24.49,True
3,2025-01-15,Plastic Waste,11.69,True
3,2025-01-15,Electrical Waste,5.21,True
3,2025-01-15,Packaging Waste,8.53,False
4,2025-01-15,Metal Scrap,3.92,True
4,2025-01-15,Plastic Waste,2.19,True
4,2025-01-15,Electrical Waste,1.08,True
4,2025-01-15,Packaging Waste,1.62,False
5,2025-01-15,Metal Scrap,81.94,True
5,2025-01-15,Plastic Waste,43.43,True
5,2025-01-15,Electrical Waste,19.52,True
5,2025-01-15,Packaging Waste,33.38,False
1,2025-01-16,Metal Scrap,12.62,True
1,2025-01-16,Plastic Waste,6.49,True
1,2025-01-16,Electrical Waste,2.61,True
1,2025-01-16,Packaging Waste,3.74,False
2,2025-01-16,Metal Scrap,0.7,True
2,2025-01-16,Plastic Waste,0.35,True
2,2025-01-16,Electrical Waste,0.15,True
2,2025-01-16,Packaging Waste,0.25,False
3,2025-01-16,Metal Scrap,20.36,True
3,2025-01-16,Plastic Waste,9.16,True
3,2025-01-16,Electrical Waste,4.8,True
3,2025-01-16,Packaging Waste,6.5,False
4,2025-01-16,Metal Scrap,5.56,True
4,2025-01-16,Plastic Waste,3.01,True
4,2025-01-16,Electrical Waste,1.14,True
4,2025-01-16,Packaging Waste,1.7,False
5,2025-01-16,Metal Scrap,64.43,True
5,2025-01-16,Plastic Waste,36.35,True
5,2025-01-16,Electrical Waste,15.26,True
5,2025-01-16,Packaging Waste,24.48,False
1,2025-01-17,Metal Scrap,13.08,True
1,2025-01-17,Plastic Waste,6.06,True
1,2025-01-17,Electrical Waste,2.94,True
1,2025-01-17,Packaging Waste,4.09,False
2,2025-01-17,Metal Scrap,0.65,True
2,2025-01-17,Plastic Waste,0.36,True
2,2025-01-17,Electrical Waste,0.16,True
2,2025-01-17,Packaging Waste,0.21,False
3,2025-01-17,Metal Scrap,22.14,True
3,2025-01-17,Plastic Waste,11.05,True
3,2025-01-17,Electrical Waste,4.63,True
3,2025-01-17,Packaging Waste,8.13,False
4,2025-01-17,Metal Scrap,5.43,True
4,2025-01-17,Plastic Waste,2.59,True
4,2025-01-17,Electrical Waste,1.27,True
4,2025-01-17,Packaging Waste,1.83,False
5,2025-01-17,Metal Scrap,84.03,True
5,2025-01-17,Plastic Waste,39.55,True
5,2025-01-17,Electrical Waste,17.83,True
5,2025-01-17,Packaging Waste,31.47,False
1,2025-01-18,Metal Scrap,3.4,True
1,2025-01-18,Plastic Waste,1.63,True
1,2025-01-18,Electrical Waste,0.77,True
1,2025-01-18,Packaging Waste,1.1,False
2,2025-01-18,Metal Scrap,0.17,True
2,2025-01-18,Plastic Waste,0.08,True
2,2025-01-18,Electrical Waste,0.04,True
2,2025-01-18,Packaging Waste,0.07,False
3,2025-01-18,Metal Scrap,10.96,True
3,2025-01-18,Plastic Waste,5.71,True
3,2025-01-18,Electrical Waste,2.55,True
3,2025-01-18,Packaging Waste,3.34,False
4,2025-01-18,Metal Scrap,1.69,True
4,2025-01-18,Plastic Waste,0.84,True
4,2025-01-18,Electrical Waste,0.43,True
4,2025-01-18,Packaging Waste,0.66,False
5,2025-01-18,Metal Scrap,26.43,True
5,2025-01-18,Plastic Waste,14.19,True
5,2025-01-18,Electrical Waste,5.73,True
5,2025-01-18,Packaging Waste,10.03,False
1,2025-01-20,Metal Scrap,9.73,True
1,2025-01-20,Plastic Waste,5.11,True
1,2025-01-20,Electrical Waste,2.2,True
1,2025-01-20,Packaging Waste,3.35,False
2,2025-01-20,Metal Scrap,0.7,True
2,2025-01-20,Plastic Waste,0.42,True
2,2025-01-20,Electrical Waste,0.17,True
2,2025-01-20,Packaging Waste,0.29,False
3,2025-01-20,Metal Scrap,19.35,True
3,2025-01-20,Plastic Waste,10.07,True
3,2025-01-20,Electrical Waste,4.43,True
3,2025-01-20,Packaging Waste,5.96,False
4,2025-01-20,Metal Scrap,7.63,True
4,2025-01-20,Plastic Waste,3.42,True
4,2025-01-20,Electrical Waste,1.77,True
4,2025-01-20,Packaging Waste,2.65,False
5,2025-01-20,Metal Scrap,73.23,True
5,2025-01-20,Plastic Waste,42.4,True
5,2025-01-20,Electrical Waste,17.58,True
5,2025-01-20,Packaging Waste,25.55,False
1,2025-01-21,Metal Scrap,11.23,True
1,2025-01-21,Plastic Waste,5.16,True
1,2025-01-21,Electrical Waste,2.19,True
1,2025-01-21,Packaging Waste,3.41,False
2,2025-01-21,Metal Scrap,0.69,True
2,2025-01-21,Plastic Waste,0.39,True
2,2025-01-21,Electrical Waste,0.18,True
2,2025-01-21,Packaging Waste,0.23,False
3,2025-01-21,Metal Scrap,23.83,True
3,2025-01-21,Plastic Waste,11.68,True
3,2025-01-21,Electrical Waste,5.81,True
3,2025-01-21,Packaging Waste,8.0,False
4,2025-01-21,Metal Scrap,6.66,True
4,2025-01-21,Plastic Waste,2.9,True
4,2025-01-21,Electrical Waste,1.53,True
4,2025-01-21,Packaging Waste,1.96,False
5,2025-01-21,Metal Scrap,79.06,True
5,2025-01-21,Plastic Waste,35.47,True
5,2025-01-21,Electrical Waste,15.25,True
5,2025-01-21,Packaging Waste,24.49,False
1,2025-01-22,Metal Scrap,12.63,True
1,2025-01-22,Plastic Waste,5.98,True
1,2025-01-22,Electrical Waste,2.82,True
1,2025-01-22,Packaging Waste,4.15,False
2,2025-01-22,Metal Scrap,0.61,True
2,2025-01-22,Plastic Waste,0.33,True
2,2025-01-22,Electrical Waste,0.14,True
2,2025-01-22,Packaging Waste,0.22,False
3,2025-01-22,Metal Scrap,22.77,True
3,2025-01-22,Plastic Waste,14.12,True
3,2025-01-22,Electrical Waste,5.83,True
3,2025-01-22,Packaging Waste,9.05,False
4,2025-01-22,Metal Scrap,5.33,True
4,2025-01-22,Plastic Waste,2.71,True
4,2025-01-22,Electrical Waste,1.13,True
4,2025-01-22,Packaging Waste,1.59,False
5,2025-01-22,Metal Scrap,63.42,True
5,2025-01-22,Plastic Waste,30.51,True
5,2025-01-22,Electrical Waste,13.51,True
5,2025-01-22,Packaging Waste,22.52,False
1,2025-01-23,Metal Scrap,8.88,True
1,2025-01-23,Plastic Waste,4.2,True
1,2025-01-23,Electrical Waste,1.87,True
1,2025-01-23,Packaging Waste,2.86,False
2,2025-01-23,Metal Scrap,0.7,True
2,2025-01-23,Plastic Waste,0.35,True
2,2025-01-23,Electrical Waste,0.15,True
2,2025-01-23,Packaging Waste,0.24,False
3,2025-01-23,Metal Scrap,25.89,True
3,2025-01-23,Plastic Waste,12.67,True
3,2025-01-23,Electrical Waste,5.88,True
3,2025-01-23,Packaging Waste,8.35,False
4,2025-01-23,Metal Scrap,4.12,True
4,2025-01-23,Plastic Waste,2.23,True
4,2025-01-23,Electrical Waste,0.88,True
4,2025-01-23,Packaging Waste,1.41,False
5,2025-01-23,Metal Scrap,67.67,True
5,2025-01-23,Plastic Waste,35.86,True
5,2025-01-23,Electrical Waste,16.17,True
5,2025-01-23,Packaging Waste,23.36,False
1,2025-01-24,Metal Scrap,9.24,True
1,2025-01-24,Plastic Waste,4.53,True
1,2025-01-24,Electrical Waste,2.12,True
1,2025-01-24,Packaging Waste,3.46,False
2,2025-01-24,Metal Scrap,0.44,True
2,2025-01-24,Plastic Waste,0.2,True
2,2025-01-24,Electrical Waste,0.09,True
2,2025-01-24,Packaging Waste,0.14,False
3,2025-01-24,Metal Scrap,19.84,True
3,2025-01-24,Plastic Waste,9.61,True
3,2025-01-24,Electrical Waste,4.7,True
3,2025-01-24,Packaging Waste,6.96,False
4,2025-01-24,Metal Scrap,6.33,True
4,2025-01-24,Plastic Waste,2.97,True
4,2025-01-24,Electrical Waste,1.31,True
4,2025-01-24,Packaging Waste,1.9,False
5,2025-01-24,Metal Scrap,63.17,True
5,2025-01-24,Plastic Waste,34.07,True
5,2025-01-24,Electrical Waste,16.28,True
5,2025-01-24,Packaging Waste,20.87,False
1,2025-01-25,Metal Scrap,4.0,True
1,2025-01-25,Plastic Waste,2.15,True
1,2025-01-25,Electrical Waste,0.87,True
1,2025-01-25,Packaging Waste,1.45,False
2,2025-01-25,Metal Scrap,0.21,True
2,2025-01-25,Plastic Waste,0.1,True
2,2025-01-25,Electrical Waste,0.05,True
2,2025-01-25,Packaging Waste,0.07,False
3,2025-01-25,Metal Scrap,9.15,True
3,2025-01-25,Plastic Waste,4.72,True
3,2025-01-25,Electrical Waste,1.83,True
3,2025-01-25,Packaging Waste,2.94,False
4,2025-01-25,Metal Scrap,2.37,True
4,2025-01-25,Plastic Waste,1.42,True
4,2025-01-25,Electrical Waste,0.58,True
4,2025-01-25,Packaging Waste,0.79,False
5,2025-01-25,Metal Scrap,26.57,True
5,2025-01-25,Plastic Waste,15.39,True
5,2025-01-25,Electrical Waste,6.34,True
5,2025-01-25,Packaging Waste,10.17,False
1,2025-01-27,Metal Scrap,12.37,True
1,2025-01-27,Plastic Waste,6.76,True
1,2025-01-27,Electrical Waste,2.79,True
1,2025-01-27,Packaging Waste,4.47,False
2,2025-01-27,Metal Scrap,0.38,True
2,2025-01-27,Plastic Waste,0.19,True
2,2025-01-27,Electrical Waste,0.09,True
2,2025-01-27,Packaging Waste,0.12,False
3,2025-01-27,Metal Scrap,21.67,True
3,2025-01-27,Plastic Waste,10.55,True
3,2025-01-27,Electrical Waste,5.02,True
3,2025-01-27,Packaging Waste,7.31,False
4,2025-01-27,Metal Scrap,4.93,True
4,2025-01-27,Plastic Waste,2.43,True
4,2025-01-27,Electrical Waste,1.08,True
4,2025-01-27,Packaging Waste,1.75,False
5,2025-01-27,Metal Scrap,68.65,True
5,2025-01-27,Plastic Waste,33.67,True
5,2025-01-27,Electrical Waste,15.28,True
5,2025-01-27,Packaging Waste,21.34,False
1,2025-01-28,Metal Scrap,9.61,True
1,2025-01-28,Plastic Waste,5.17,True
1,2025-01-28,Electrical Waste,2.29,True
1,2025-01-28,Packaging Waste,3.47,False
2,2025-01-28,Metal Scrap,0.51,True
2,2025-01-28,Plastic Waste,0.24,True
2,2025-01-28,Electrical Waste,0.11,True
2,2025-01-28,Packaging Waste,0.18,False
3,2025-01-28,Metal Scrap,22.61,True
3,2025-01-28,Plastic Waste,10.19,True
3,2025-01-28,Electrical Waste,4.87,True
3,2025-01-28,Packaging Waste,7.51,False
4,2025-01-28,Metal Scrap,6.24,True
4,2025-01-28,Plastic Waste,3.07,True
4,2025-01-28,Electrical Waste,1.43,True
4,2025-01-28,Packaging Waste,2.35,False
5,2025-01-28,Metal Scrap,81.23,True
5,2025-01-28,Plastic Waste,42.69,True
5,2025-01-28,Electrical Waste,19.56,True
5,2025-01-28,Packaging Waste,28.84,False
1,2025-01-29,Metal Scrap,9.84,True
1,2025-01-29,Plastic Waste,4.67,True
1,2025-01-29,Electrical Waste,2.24,True
1,2025-01-29,Packaging Waste,3.63,False
2,2025-01-29,Metal Scrap,0.73,True
2,2025-01-29,Plastic Waste,0.38,True
2,2025-01-29,Electrical Waste,0.15,True
2,2025-01-29,Packaging Waste,0.25,False
3,2025-01-29,Metal Scrap,17.37,True
3,2025-01-29,Plastic Waste,9.03,True
3,2025-01-29,Electrical Waste,3.71,True
3,2025-01-29,Packaging Waste,5.57,False
4,2025-01-29,Metal Scrap,7.39,True
4,2025-01-29,Plastic Waste,3.49,True
4,2025-01-29,Electrical Waste,1.65,True
4,2025-01-29,Packaging Waste,2.66,False
5,2025-01-29,Metal Scrap,70.49,True
5,2025-01-29,Plastic Waste,34.48,True
5,2025-01-29,Electrical Waste,16.32,True
5,2025-01-29,Packaging Waste,22.8,False
1,2025-01-30,Metal Scrap,11.51,True
1,2025-01-30,Plastic Waste,5.23,True
1,2025-01-30,Electrical Waste,2.51,True
1,2025-01-30,Packaging Waste,3.9,False
2,2025-01-30,Metal Scrap,0.57,True
2,2025-01-30,Plastic Waste,0.33,True
2,2025-01-30,Electrical Waste,0.13,True
2,2025-01-30,Packaging Waste,0.21,False
3,2025-01-30,Metal Scrap,19.48,True
3,2025-01-30,Plastic Waste,10.74,True
3,2025-01-30,Electrical Waste,4.61,True
3,2025-01-30,Packaging Waste,7.09,False
4,2025-01-30,Metal Scrap,7.24,True
4,2025-01-30,Plastic Waste,3.45,True
4,2025-01-30,Electrical Waste,1.65,True
4,2025-01-30,Packaging Waste,2.52,False
5,2025-01-30,Metal Scrap,74.25,True
5,2025-01-30,Plastic Waste,36.82,True
5,2025-01-30,Electrical Waste,16.14,True
5,2025-01-30,Packaging Waste,27.0,False
1,2025-01-31,Metal Scrap,9.7,True
1,2025-01-31,Plastic Waste,4.4,True
1,2025-01-31,Electrical Waste,2.08,True
1,2025-01-31,Packaging Waste,3.19,False
2,2025-01-31,Metal Scrap,0.58,True
2,2025-01-31,Plastic Waste,0.31,True
2,2025-01-31,Electrical Waste,0.14,True
2,2025-01-31,Packaging Waste,0.18,False
3,2025-01-31,Metal Scrap,17.72,True
3,2025-01-31,Plastic Waste,9.38,True
3,2025-01-31,Electrical Waste,4.14,True
3,2025-01-31,Packaging Waste,6.95,False
4,2025-01-31,Metal Scrap,6.36,True
4,2025-01-31,Plastic Waste,3.05,True
4,2025-01-31,Electrical Waste,1.49,True
4,2025-01-31,Packaging Waste,2.27,False
5,2025-01-31,Metal Scrap,66.97,True
5,2025-01-31,Plastic Waste,37.68,True
5,2025-01-31,Electrical Waste,17.21,True
5,2025-01-31,Packaging Waste,22.7,False
1,2025-02-01,Metal Scrap,4.78,True
1,2025-02-01,Plastic Waste,2.53,True
1,2025-02-01,Electrical Waste,0.95,True
1,2025-02-01,Packaging Waste,1.39,False
2,2025-02-01,Metal Scrap,0.27,True
2,2025-02-01,Plastic Waste,0.15,True
2,2025-02-01,Electrical Waste,0.07,True
2,2025-02-01,Packaging Waste,0.1,False
3,2025-02-01,Metal Scrap,8.26,True
3,2025-02-01,Plastic Waste,3.73,True
3,2025-02-01,Electrical Waste,1.88,True
3,2025-02-01,Packaging Waste,2.79,False
4,2025-02-01,Metal Scrap,1.8,True
4,2025-02-01,Plastic Waste,1.06,True
4,2025-02-01,Electrical Waste,0.48,True
4,2025-02-01,Packaging Waste,0.68,False
5,2025-02-01,Metal Scrap,26.78,True
5,2025-02-01,Plastic Waste,16.35,True
5,2025-02-01,Electrical Waste,7.0,True
5,2025-02-01,Packaging Waste,9.63,False
1,2025-02-03,Metal Scrap,10.83,True
1,2025-02-03,Plastic Waste,5.51,True
1,2025-02-03,Electrical Waste,2.51,True
1,2025-02-03,Packaging Waste,3.65,False
2,2025-02-03,Metal Scrap,0.83,True
2,2025-02-03,Plastic Waste,0.42,True
2,2025-02-03,Electrical Waste,0.16,True
2,2025-02-03,Packaging Waste,0.29,False
3,2025-02-03,Metal Scrap,18.35,True
3,2025-02-03,Plastic Waste,9.79,True
3,2025-02-03,Electrical Waste,4.25,True
3,2025-02-03,Packaging Waste,6.05,False
4,2025-02-03,Metal Scrap,5.46,True
4,2025-02-03,Plastic Waste,2.93,True
4,2025-02-03,Electrical Waste,1.14,True
4,2025-02-03,Packaging Waste,1.9,False
5,2025-02-03,Metal Scrap,60.31,True
5,2025-02-03,Plastic Waste,30.68,True
5,2025-02-03,Electrical Waste,13.5,True
5,2025-02-03,Packaging Waste,21.47,False
1,2025-02-04,Metal Scrap,8.88,True
1,2025-02-04,Plastic Waste,5.12,True
1,2025-02-04,Electrical Waste,2.27,True
1,2025-02-04,Packaging Waste,2.93,False
2,2025-02-04,Metal Scrap,0.64,True
2,2025-02-04,Plastic Waste,0.29,True
2,2025-02-04,Electrical Waste,0.14,True
2,2025-02-04,Packaging Waste,0.21,False
3,2025-02-04,Metal Scrap,20.4,True
3,2025-02-04,Plastic Waste,9.74,True
3,2025-02-04,Electrical Waste,5.11,True
3,2025-02-04,Packaging Waste,6.71,False
4,2025-02-04,Metal Scrap,5.7,True
4,2025-02-04,Plastic Waste,3.3,True
4,2025-02-04,Electrical Waste,1.34,True
4,2025-02-04,Packaging Waste,2.23,False
5,2025-02-04,Metal Scrap,91.57,True
5,2025-02-04,Plastic Waste,43.25,True
5,2025-02-04,Electrical Waste,18.15,True
5,2025-02-04,Packaging Waste,32.89,False
1,2025-02-05,Metal Scrap,9.66,True
1,2025-02-05,Plastic Waste,5.66,True
1,2025-02-05,Electrical Waste,2.4,True
1,2025-02-05,Packaging Waste,3.8,False
2,2025-02-05,Metal Scrap,0.53,True
2,2025-02-05,Plastic Waste,0.27,True
