site_id,energy_source_id,energy_date,energy_consumption_kwh,energy_cost
3,4,2025-01-06,114.25,6.85
3,5,2025-01-06,114.25,8.0
4,1,2025-01-06,212.42,38.24
4,2,2025-01-06,84.97,7.65
4,3,2025-01-06,42.48,2.12
4,4,2025-01-06,21.24,1.27
4,5,2025-01-06,63.73,4.46
5,1,2025-01-06,1037.07,186.67
5,2,2025-01-06,592.61,53.33
5,3,2025-01-06,296.31,14.82
5,4,2025-01-06,296.31,17.78
5,5,2025-01-06,740.76,51.85
1,1,2025-01-07,322.25,58.0
1,2,2025-01-07,161.12,14.5
1,3,2025-01-07,64.45,3.22
1,4,2025-01-07,32.22,1.93
1,5,2025-01-07,64.45,4.51
2,1,2025-01-07,17.19,3.09
2,2,2025-01-07,6.45,0.58
2,3,2025-01-07,4.3,0.21
2,4,2025-01-07,8.6,0.52
2,5,2025-01-07,6.45,0.45
3,1,2025-01-07,304.71,54.85
3,2,2025-01-07,87.06,7.84
3,3,2025-01-07,304.71,15.24
3,4,2025-01-07,87.06,5.22
3,5,2025-01-07,87.06,6.09
4,1,2025-01-07,160.49,28.89
4,2,2025-01-07,64.2,5.78
4,3,2025-01-07,32.1,1.61
4,4,2025-01-07,16.05,0.96
4,5,2025-01-07,48.15,3.37
5,1,2025-01-07,918.2,165.28
5,2,2025-01-07,524.69,47.22
5,3,2025-01-07,262.34,13.12
5,4,2025-01-07,262.34,15.74
5,5,2025-01-07,655.86,45.91
1,1,2025-01-08,408.16,73.47
1,2,2025-01-08,204.08,18.37
1,3,2025-01-08,81.63,4.08
1,4,2025-01-08,40.82,2.45
1,5,2025-01-08,81.63,5.71
2,1,2025-01-08,30.12,5.42
2,2,2025-01-08,11.29,1.02
2,3,2025-01-08,7.53,0.38
2,4,2025-01-08,15.06,0.9
2,5,2025-01-08,11.29,0.79
3,1,2025-01-08,344.59,62.03
3,2,2025-01-08,98.45,8.86
3,3,2025-01-08,344.59,17.23
3,4,2025-01-08,98.45,5.91
3,5,2025-01-08,98.45,6.89
4,1,2025-01-08,187.78,33.8
4,2,2025-01-08,75.11,6.76
4,3,2025-01-08,37.56,1.88
4,4,2025-01-08,18.78,1.13
4,5,2025-01-08,56.34,3.94
5,1,2025-01-08,950.12,171.02
5,2,2025-01-08,542.92,48.86
5,3,2025-01-08,271.46,13.57
5,4,2025-01-08,271.46,16.29
5,5,2025-01-08,678.65,47.51
1,1,2025-01-09,441.49,79.47
1,2,2025-01-09,220.74,19.87
1,3,2025-01-09,88.3,4.42
1,4,2025-01-09,44.15,2.65
1,5,2025-01-09,88.3,6.18
2,1,2025-01-09,23.8,4.28
2,2,2025-01-09,8.92,0.8
2,3,2025-01-09,5.95,0.3
2,4,2025-01-09,11.9,0.71
2,5,2025-01-09,8.92,0.62
3,1,2025-01-09,375.47,67.58
3,2,2025-01-09,107.28,9.66
3,3,2025-01-09,375.47,18.77
3,4,2025-01-09,107.28,6.44
3,5,2025-01-09,107.28,7.51
4,1,2025-01-09,170.97,30.77
4,2,2025-01-09,68.39,6.16
4,3,2025-01-09,34.19,1.71
4,4,2025-01-09,17.1,1.03
4,5,2025-01-09,51.29,3.59
5,1,2025-01-09,987.76,177.8
5,2,2025-01-09,564.43,50.8
5,3,2025-01-09,282.22,14.11
5,4,2025-01-09,282.22,16.93
5,5,2025-01-09,705.54,49.39
1,1,2025-01-10,389.4,70.09
1,2,2025-01-10,194.7,17.52
1,3,2025-01-10,77.88,3.89
1,4,2025-01-10,38.94,2.34
1,5,2025-01-10,77.88,5.45
2,1,2025-01-10,30.55,5.5
2,2,2025-01-10,11.46,1.03
2,3,2025-01-10,7.64,0.38
2,4,2025-01-10,15.27,0.92
2,5,2025-01-10,11.46,0.8
3,1,2025-01-10,392.84,70.71
3,2,2025-01-10,112.24,10.1
3,3,2025-01-10,392.84,19.64
3,4,2025-01-10,112.24,6.73
3,5,2025-01-10,112.24,7.86
4,1,2025-01-10,152.91,27.52
4,2,2025-01-10,61.16,5.5
4,3,2025-01-10,30.58,1.53
4,4,2025-01-10,15.29,0.92
4,5,2025-01-10,45.87,3.21
5,1,2025-01-10,932.45,167.84
5,2,2025-01-10,532.83,47.95
5,3,2025-01-10,266.41,13.32
5,4,2025-01-10,266.41,15.98
5,5,2025-01-10,666.03,46.62
1,1,2025-01-11,183.37,33.01
1,2,2025-01-11,91.68,8.25
1,3,2025-01-11,36.67,1.83
1,4,2025-01-11,18.34,1.1
1,5,2025-01-11,36.67,2.57
2,1,2025-01-11,13.52,2.43
2,2,2025-01-11,5.07,0.46
2,3,2025-01-11,3.38,0.17
2,4,2025-01-11,6.76,0.41
2,5,2025-01-11,5.07,0.35
3,1,2025-01-11,177.41,31.93
3,2,2025-01-11,50.69,4.56
3,3,2025-01-11,177.41,8.87
3,4,2025-01-11,50.69,3.04
3,5,2025-01-11,50.69,3.55
4,1,2025-01-11,128.22,23.08
4,2,2025-01-11,51.29,4.62
4,3,2025-01-11,25.64,1.28
4,4,2025-01-11,12.82,0.77
4,5,2025-01-11,38.46,2.69
5,1,2025-01-11,544.32,97.98
5,2,2025-01-11,311.04,27.99
5,3,2025-01-11,155.52,7.78
5,4,2025-01-11,155.52,9.33
5,5,2025-01-11,388.8,27.22
1,1,2025-01-13,392.05,70.57
1,2,2025-01-13,196.02,17.64
1,3,2025-01-13,78.41,3.92
1,4,2025-01-13,39.2,2.35
1,5,2025-01-13,78.41,5.49
2,1,2025-01-13,27.34,4.92
2,2,2025-01-13,10.25,0.92
2,3,2025-01-13,6.83,0.34
2,4,2025-01-13,13.67,0.82
2,5,2025-01-13,10.25,0.72
3,1,2025-01-13,371.65,66.9
3,2,2025-01-13,106.19,9.56
3,3,2025-01-13,371.65,18.58
3,4,2025-01-13,106.19,6.37
3,5,2025-01-13,106.19,7.43
4,1,2025-01-13,167.62,30.17
4,2,2025-01-13,67.05,6.03
4,3,2025-01-13,33.52,1.68
4,4,2025-01-13,16.76,1.01
4,5,2025-01-13,50.28,3.52
5,1,2025-01-13,1051.16,189.21
5,2,2025-01-13,600.66,54.06
5,3,2025-01-13,300.33,15.02
5,4,2025-01-13,300.33,18.02
5,5,2025-01-13,750.83,52.56
1,1,2025-01-14,389.4,70.09
1,2,2025-01-14,194.7,17.52
1,3,2025-01-14,77.88,3.89
1,4,2025-01-14,38.94,2.34
1,5,2025-01-14,77.88,5.45
2,1,2025-01-14,14.86,2.67
2,2,2025-01-14,5.57,0.5
2,3,2025-01-14,3.71,0.19
2,4,2025-01-14,7.43,0.45
2,5,2025-01-14,5.57,0.39
3,1,2025-01-14,392.46,70.64
3,2,2025-01-14,112.13,10.09
3,3,2025-01-14,392.46,19.62
3,4,2025-01-14,112.13,6.73
3,5,2025-01-14,112.13,7.85
4,1,2025-01-14,190.27,34.25
4,2,2025-01-14,76.11,6.85
4,3,2025-01-14,38.05,1.9
4,4,2025-01-14,19.03,1.14
4,5,2025-01-14,57.08,4.0
5,1,2025-01-14,758.3,136.49
5,2,2025-01-14,433.31,39.0
5,3,2025-01-14,216.66,10.83
5,4,2025-01-14,216.66,13.0
5,5,2025-01-14,541.64,37.91
1,1,2025-01-15,402.8,72.5
1,2,2025-01-15,201.4,18.13
1,3,2025-01-15,80.56,4.03
1,4,2025-01-15,40.28,2.42
1,5,2025-01-15,80.56,5.64
2,1,2025-01-15,29.85,5.37
2,2,2025-01-15,11.19,1.01
2,3,2025-01-15,7.46,0.37
2,4,2025-01-15,14.93,0.9
2,5,2025-01-15,11.19,0.78
3,1,2025-01-15,389.65,70.14
3,2,2025-01-15,111.33,10.02
3,3,2025-01-15,389.65,19.48
3,4,2025-01-15,111.33,6.68
3,5,2025-01-15,111.33,7.79
4,1,2025-01-15,144.52,26.01
4,2,2025-01-15,57.81,5.2
4,3,2025-01-15,28.9,1.45
4,4,2025-01-15,14.45,0.87
4,5,2025-01-15,43.36,3.04
5,1,2025-01-15,1158.22,208.48
5,2,2025-01-15,661.84,59.57
5,3,2025-01-15,330.92,16.55
5,4,2025-01-15,330.92,19.86
5,5,2025-01-15,827.3,57.91
1,1,2025-01-16,413.1,74.36
1,2,2025-01-16,206.55,18.59
1,3,2025-01-16,82.62,4.13
1,4,2025-01-16,41.31,2.48
1,5,2025-01-16,82.62,5.78
2,1,2025-01-16,27.4,4.93
2,2,2025-01-16,10.27,0.92
2,3,2025-01-16,6.85,0.34
2,4,2025-01-16,13.7,0.82
2,5,2025-01-16,10.27,0.72
3,1,2025-01-16,308.07,55.45
3,2,2025-01-16,88.02,7.92
3,3,2025-01-16,308.07,15.4
3,4,2025-01-16,88.02,5.28
3,5,2025-01-16,88.02,6.16
4,1,2025-01-16,174.91,31.48
4,2,2025-01-16,69.96,6.3
4,3,2025-01-16,34.98,1.75
4,4,2025-01-16,17.49,1.05
4,5,2025-01-16,52.47,3.67
5,1,2025-01-16,853.82,153.69
5,2,2025-01-16,487.9,43.91
5,3,2025-01-16,243.95,12.2
5,4,2025-01-16,243.95,14.64
5,5,2025-01-16,609.87,42.69
1,1,2025-01-17,417.19,75.09
1,2,2025-01-17,208.59,18.77
1,3,2025-01-17,83.44,4.17
1,4,2025-01-17,41.72,2.5
1,5,2025-01-17,83.44,5.84
2,1,2025-01-17,29.41,5.29
2,2,2025-01-17,11.03,0.99
2,3,2025-01-17,7.35,0.37
2,4,2025-01-17,14.7,0.88
2,5,2025-01-17,11.03,0.77
3,1,2025-01-17,381.77,68.72
3,2,2025-01-17,109.08,9.82
3,3,2025-01-17,381.77,19.09
3,4,2025-01-17,109.08,6.54
3,5,2025-01-17,109.08,7.64
4,1,2025-01-17,171.66,30.9
4,2,2025-01-17,68.66,6.18
4,3,2025-01-17,34.33,1.72
4,4,2025-01-17,17.17,1.03
4,5,2025-01-17,51.5,3.61
5,1,2025-01-17,1082.32,194.82
5,2,2025-01-17,618.47,55.66
5,3,2025-01-17,309.23,15.46
5,4,2025-01-17,309.23,18.55
5,5,2025-01-17,773.08,54.12
1,1,2025-01-18,178.12,32.06
1,2,2025-01-18,89.06,8.02
1,3,2025-01-18,35.62,1.78
1,4,2025-01-18,17.81,1.07
1,5,2025-01-18,35.62,2.49
2,1,2025-01-18,13.33,2.4
2,2,2025-01-18,5.0,0.45
2,3,2025-01-18,3.33,0.17
2,4,2025-01-18,6.67,0.4
2,5,2025-01-18,5.0,0.35
3,1,2025-01-18,281.08,50.59
3,2,2025-01-18,80.31,7.23
3,3,2025-01-18,281.08,14.05
3,4,2025-01-18,80.31,4.82
3,5,2025-01-18,80.31,5.62
4,1,2025-01-18,95.6,17.21
4,2,2025-01-18,38.24,3.44
4,3,2025-01-18,19.12,0.96
4,4,2025-01-18,9.56,0.57
4,5,2025-01-18,28.68,2.01
5,1,2025-01-18,547.0,98.46
5,2,2025-01-18,312.57,28.13
5,3,2025-01-18,156.29,7.81
5,4,2025-01-18,156.29,9.38
5,5,2025-01-18,390.72,27.35
1,1,2025-01-20,312.7,56.29
1,2,2025-01-20,156.35,14.07
1,3,2025-01-20,62.54,3.13
1,4,2025-01-20,31.27,1.88
1,5,2025-01-20,62.54,4.38
2,1,2025-01-20,32.49,5.85
2,2,2025-01-20,12.18,1.1
2,3,2025-01-20,8.12,0.41
2,4,2025-01-20,16.25,0.97
2,5,2025-01-20,12.18,0.85
3,1,2025-01-20,301.15,54.21
3,2,2025-01-20,86.04,7.74
3,3,2025-01-20,301.15,15.06
3,4,2025-01-20,86.04,5.16
3,5,2025-01-20,86.04,6.02
4,1,2025-01-20,248.19,44.67
4,2,2025-01-20,99.28,8.94
4,3,2025-01-20,49.64,2.48
4,4,2025-01-20,24.82,1.49
4,5,2025-01-20,74.46,5.21
5,1,2025-01-20,959.4,172.69
5,2,2025-01-20,548.23,49.34
5,3,2025-01-20,274.11,13.71
5,4,2025-01-20,274.11,16.45
5,5,2025-01-20,685.28,47.97
1,1,2025-01-21,353.39,63.61
1,2,2025-01-21,176.7,15.9
1,3,2025-01-21,70.68,3.53
1,4,2025-01-21,35.34,2.12
1,5,2025-01-21,70.68,4.95
2,1,2025-01-21,32.25,5.8
2,2,2025-01-21,12.09,1.09
2,3,2025-01-21,8.06,0.4
2,4,2025-01-21,16.12,0.97
2,5,2025-01-21,12.09,0.85
3,1,2025-01-21,379.62,68.33
3,2,2025-01-21,108.46,9.76
3,3,2025-01-21,379.62,18.98
3,4,2025-01-21,108.46,6.51
3,5,2025-01-21,108.46,7.59
4,1,2025-01-21,194.12,34.94
4,2,2025-01-21,77.65,6.99
4,3,2025-01-21,38.82,1.94
4,4,2025-01-21,19.41,1.16
4,5,2025-01-21,58.24,4.08
5,1,2025-01-21,863.61,155.45
5,2,2025-01-21,493.49,44.41
5,3,2025-01-21,246.75,12.34
5,4,2025-01-21,246.75,14.8
5,5,2025-01-21,616.86,43.18
1,1,2025-01-22,397.84,71.61
1,2,2025-01-22,198.92,17.9
1,3,2025-01-22,79.57,3.98
1,4,2025-01-22,39.78,2.39
1,5,2025-01-22,79.57,5.57
2,1,2025-01-22,27.22,4.9
2,2,2025-01-22,10.21,0.92
2,3,2025-01-22,6.81,0.34
2,4,2025-01-22,13.61,0.82
2,5,2025-01-22,10.21,0.71
3,1,2025-01-22,426.0,76.68
3,2,2025-01-22,121.71,10.95
3,3,2025-01-22,426.0,21.3
3,4,2025-01-22,121.71,7.3
3,5,2025-01-22,121.71,8.52
4,1,2025-01-22,166.99,30.06
4,2,2025-01-22,66.8,6.01
4,3,2025-01-22,33.4,1.67
4,4,2025-01-22,16.7,1.0
4,5,2025-01-22,50.1,3.51
5,1,2025-01-22,734.05,132.13
5,2,2025-01-22,419.46,37.75
5,3,2025-01-22,209.73,10.49
5,4,2025-01-22,209.73,12.58
5,5,2025-01-22,524.32,36.7
1,1,2025-01-23,288.15,51.87
1,2,2025-01-23,144.07,12.97
1,3,2025-01-23,57.63,2.88
1,4,2025-01-23,28.81,1.73
1,5,2025-01-23,57.63,4.03
2,1,2025-01-23,32.24,5.8
2,2,2025-01-23,12.09,1.09
2,3,2025-01-23,8.06,0.4
2,4,2025-01-23,16.12,0.97
2,5,2025-01-23,12.09,0.85
3,1,2025-01-23,390.47,70.28
3,2,2025-01-23,111.56,10.04
3,3,2025-01-23,390.47,19.52
3,4,2025-01-23,111.56,6.69
3,5,2025-01-23,111.56,7.81
4,1,2025-01-23,148.59,26.75
4,2,2025-01-23,59.43,5.35
4,3,2025-01-23,29.72,1.49
4,4,2025-01-23,14.86,0.89
4,5,2025-01-23,44.58,3.12
5,1,2025-01-23,888.8,159.98
5,2,2025-01-23,507.89,45.71
5,3,2025-01-23,253.94,12.7
5,4,2025-01-23,253.94,15.24
5,5,2025-01-23,634.86,44.44
1,1,2025-01-24,304.75,54.85
1,2,2025-01-24,152.38,13.71
1,3,2025-01-24,60.95,3.05
1,4,2025-01-24,30.48,1.83
1,5,2025-01-24,60.95,4.27
2,1,2025-01-24,18.32,3.3
2,2,2025-01-24,6.87,0.62
2,3,2025-01-24,4.58,0.23
2,4,2025-01-24,9.16,0.55
2,5,2025-01-24,6.87,0.48
3,1,2025-01-24,322.01,57.96
3,2,2025-01-24,92.0,8.28
3,3,2025-01-24,322.01,16.1
3,4,2025-01-24,92.0,5.52
3,5,2025-01-24,92.0,6.44
4,1,2025-01-24,203.15,36.57
4,2,2025-01-24,81.26,7.31
4,3,2025-01-24,40.63,2.03
4,4,2025-01-24,20.32,1.22
4,5,2025-01-24,60.95,4.27
5,1,2025-01-24,812.72,146.29
5,2,2025-01-24,464.41,41.8
5,3,2025-01-24,232.21,11.61
5,4,2025-01-24,232.21,13.93
5,5,2025-01-24,580.51,40.64
1,1,2025-01-25,236.08,42.49
1,2,2025-01-25,118.04,10.62
1,3,2025-01-25,47.22,2.36
1,4,2025-01-25,23.61,1.42
1,5,2025-01-25,47.22,3.31
2,1,2025-01-25,14.76,2.66
2,2,2025-01-25,5.54,0.5
2,3,2025-01-25,3.69,0.18
2,4,2025-01-25,7.38,0.44
2,5,2025-01-25,5.54,0.39
3,1,2025-01-25,235.96,42.47
3,2,2025-01-25,67.42,6.07
3,3,2025-01-25,235.96,11.8
3,4,2025-01-25,67.42,4.05
3,5,2025-01-25,67.42,4.72
4,1,2025-01-25,139.06,25.03
4,2,2025-01-25,55.62,5.01
4,3,2025-01-25,27.81,1.39
4,4,2025-01-25,13.91,0.83
4,5,2025-01-25,41.72,2.92
5,1,2025-01-25,609.2,109.66
5,2,2025-01-25,348.11,31.33
5,3,2025-01-25,174.06,8.7
5,4,2025-01-25,174.06,10.44
5,5,2025-01-25,435.14,30.46
1,1,2025-01-27,425.82,76.65
1,2,2025-01-27,212.91,19.16
1,3,2025-01-27,85.17,4.26
1,4,2025-01-27,42.58,2.55
1,5,2025-01-27,85.17,5.96
2,1,2025-01-27,15.0,2.7
2,2,2025-01-27,5.62,0.51
2,3,2025-01-27,3.75,0.19
2,4,2025-01-27,7.5,0.45
2,5,2025-01-27,5.62,0.39
3,1,2025-01-27,332.66,59.88
3,2,2025-01-27,95.05,8.55
3,3,2025-01-27,332.66,16.63
3,4,2025-01-27,95.05,5.7
3,5,2025-01-27,95.05,6.65
4,1,2025-01-27,158.63,28.55
4,2,2025-01-27,63.45,5.71
4,3,2025-01-27,31.73,1.59
4,4,2025-01-27,15.86,0.95
4,5,2025-01-27,47.59,3.33
5,1,2025-01-27,848.42,152.72
5,2,2025-01-27,484.81,43.63
5,3,2025-01-27,242.41,12.12
5,4,2025-01-27,242.41,14.54
5,5,2025-01-27,606.01,42.42
1,1,2025-01-28,373.34,67.2
1,2,2025-01-28,186.67,16.8
1,3,2025-01-28,74.67,3.73
1,4,2025-01-28,37.33,2.24
1,5,2025-01-28,74.67,5.23
2,1,2025-01-28,21.32,3.84
2,2,2025-01-28,7.99,0.72
2,3,2025-01-28,5.33,0.27
2,4,2025-01-28,10.66,0.64
2,5,2025-01-28,7.99,0.56
3,1,2025-01-28,360.26,64.85
3,2,2025-01-28,102.93,9.26
3,3,2025-01-28,360.26,18.01
3,4,2025-01-28,102.93,6.18
3,5,2025-01-28,102.93,7.21
4,1,2025-01-28,212.39,38.23
4,2,2025-01-28,84.96,7.65
4,3,2025-01-28,42.48,2.12
4,4,2025-01-28,21.24,1.27
4,5,2025-01-28,63.72,4.46
5,1,2025-01-28,963.89,173.5
5,2,2025-01-28,550.79,49.57
5,3,2025-01-28,275.4,13.77
5,4,2025-01-28,275.4,16.52
5,5,2025-01-28,688.49,48.19
1,1,2025-01-29,354.67,63.84
1,2,2025-01-29,177.34,15.96
1,3,2025-01-29,70.93,3.55
1,4,2025-01-29,35.47,2.13
1,5,2025-01-29,70.93,4.97
2,1,2025-01-29,29.56,5.32
2,2,2025-01-29,11.08,1.0
2,3,2025-01-29,7.39,0.37
2,4,2025-01-29,14.78,0.89
2,5,2025-01-29,11.08,0.78
3,1,2025-01-29,289.46,52.1
3,2,2025-01-29,82.7,7.44
3,3,2025-01-29,289.46,14.47
3,4,2025-01-29,82.7,4.96
3,5,2025-01-29,82.7,5.79
4,1,2025-01-29,248.25,44.68
4,2,2025-01-29,99.3,8.94
4,3,2025-01-29,49.65,2.48
4,4,2025-01-29,24.83,1.49
4,5,2025-01-29,74.47,5.21
5,1,2025-01-29,853.41,153.61
5,2,2025-01-29,487.66,43.89
5,3,2025-01-29,243.83,12.19
5,4,2025-01-29,243.83,14.63
5,5,2025-01-29,609.58,42.67
1,1,2025-01-30,378.43,68.12
1,2,2025-01-30,189.21,17.03
1,3,2025-01-30,75.69,3.78
1,4,2025-01-30,37.84,2.27
1,5,2025-01-30,75.69,5.3
2,1,2025-01-30,25.59,4.61
2,2,2025-01-30,9.6,0.86
2,3,2025-01-30,6.4,0.32
2,4,2025-01-30,12.79,0.77
2,5,2025-01-30,9.6,0.67
3,1,2025-01-30,365.31,65.76
3,2,2025-01-30,104.37,9.39
3,3,2025-01-30,365.31,18.27
3,4,2025-01-30,104.37,6.26
3,5,2025-01-30,104.37,7.31
4,1,2025-01-30,236.32,42.54
4,2,2025-01-30,94.53,8.51
4,3,2025-01-30,47.27,2.36
4,4,2025-01-30,23.63,1.42
4,5,2025-01-30,70.9,4.96
5,1,2025-01-30,1008.89,181.6
5,2,2025-01-30,576.51,51.89
5,3,2025-01-30,288.25,14.41
5,4,2025-01-30,288.25,17.29
5,5,2025-01-30,720.63,50.44
1,1,2025-01-31,296.58,53.38
1,2,2025-01-31,148.29,13.35
1,3,2025-01-31,59.32,2.97
1,4,2025-01-31,29.66,1.78
1,5,2025-01-31,59.32,4.15
2,1,2025-01-31,23.24,4.18
2,2,2025-01-31,8.72,0.78
2,3,2025-01-31,5.81,0.29
2,4,2025-01-31,11.62,0.7
2,5,2025-01-31,8.72,0.61
3,1,2025-01-31,332.79,59.9
3,2,2025-01-31,95.08,8.56
3,3,2025-01-31,332.79,16.64
3,4,2025-01-31,95.08,5.7
3,5,2025-01-31,95.08,6.66
4,1,2025-01-31,217.19,39.09
4,2,2025-01-31,86.88,7.82
4,3,2025-01-31,43.44,2.17
4,4,2025-01-31,21.72,1.3
4,5,2025-01-31,65.16,4.56
5,1,2025-01-31,859.54,154.72
5,2,2025-01-31,491.17,44.21
5,3,2025-01-31,245.58,12.28
5,4,2025-01-31,245.58,14.73
5,5,2025-01-31,613.96,42.98
1,1,2025-02-01,256.44,46.16
1,2,2025-02-01,128.22,11.54
1,3,2025-02-01,51.29,2.56
1,4,2025-02-01,25.64,1.54
1,5,2025-02-01,51.29,3.59
2,1,2025-02-01,19.6,3.53
2,2,2025-02-01,7.35,0.66
2,3,2025-02-01,4.9,0.25
2,4,2025-02-01,9.8,0.59
2,5,2025-02-01,7.35,0.51
3,1,2025-02-01,221.72,39.91
3,2,2025-02-01,63.35,5.7
3,3,2025-02-01,221.72,11.09
3,4,2025-02-01,63.35,3.8
3,5,2025-02-01,63.35,4.43
4,1,2025-02-01,110.67,19.92
4,2,2025-02-01,44.27,3.98
4,3,2025-02-01,22.13,1.11
4,4,2025-02-01,11.07,0.66
4,5,2025-02-01,33.2,2.32
5,1,2025-02-01,581.31,104.64
5,2,2025-02-01,332.18,29.9
5,3,2025-02-01,166.09,8.3
5,4,2025-02-01,166.09,9.97
5,5,2025-02-01,415.23,29.07
1,1,2025-02-03,375.87,67.66
1,2,2025-02-03,187.94,16.91
1,3,2025-02-03,75.17,3.76
1,4,2025-02-03,37.59,2.26
1,5,2025-02-03,75.17,5.26
2,1,2025-02-03,33.44,6.02
2,2,2025-02-03,12.54,1.13
2,3,2025-02-03,8.36,0.42
2,4,2025-02-03,16.72,1.0
2,5,2025-02-03,12.54,0.88
3,1,2025-02-03,285.45,51.38
3,2,2025-02-03,81.56,7.34
3,3,2025-02-03,285.45,14.27
3,4,2025-02-03,81.56,4.89
3,5,2025-02-03,81.56,5.71
4,1,2025-02-03,179.13,32.24
4,2,2025-02-03,71.65,6.45
4,3,2025-02-03,35.83,1.79
4,4,2025-02-03,17.91,1.07
4,5,2025-02-03,53.74,3.76
5,1,2025-02-03,742.37,133.63
5,2,2025-02-03,424.21,38.18
5,3,2025-02-03,212.11,10.61
5,4,2025-02-03,212.11,12.73
5,5,2025-02-03,530.27,37.12
1,1,2025-02-04,310.0,55.8
1,2,2025-02-04,155.0,13.95
1,3,2025-02-04,62.0,3.1
1,4,2025-02-04,31.0,1.86
1,5,2025-02-04,62.0,4.34
2,1,2025-02-04,25.7,4.63
2,2,2025-02-04,9.64,0.87
2,3,2025-02-04,6.43,0.32
